x	y	intensity	time_series
1	-54	236	1
1	-53	234	2
1	-52	236	3
2	-51	234	4
3	-50	232	5
4	-50	230	6
5	-49	227	7
6	-49	227	8
7	-48	233	9
8	-48	231	10
9	-48	226	11
10	-48	223	12
11	-48	226	13
12	-48	229	14
13	-48	230	15
14	-48	230	16
15	-48	231	17
16	-48	233	18
17	-48	231	19
18	-48	229	20
19	-48	229	21
20	-48	231	22
21	-48	232	23
22	-48	233	24
23	-48	234	25
24	-48	234	26
25	-49	235	27
26	-49	234	28
27	-49	232	29
28	-49	231	30
29	-49	233	31
30	-49	233	32
31	-50	231	33
32	-50	227	34
33	-50	225	35
34	-50	226	36
35	-50	232	37
36	-50	237	38
37	-50	241	39
38	-50	238	40
39	-50	240	41
40	-51	238	42
41	-51	240	43
42	-51	241	44
43	-51	243	45
44	-51	245	46
45	-51	246	47
46	-50	247	48
47	-49	242	49
48	-49	241	50
48	-48	241	51
47	-47	239	52
47	-46	241	53
46	-45	243	54
45	-44	244	55
44	-43	245	56
43	-42	243	57
42	-42	241	58
41	-42	238	59
40	-41	243	60
39	-41	241	61
38	-40	246	62
37	-40	241	63
36	-40	241	64
35	-39	240	65
34	-39	241	66
33	-38	238	67
32	-38	239	68
31	-37	245	69
30	-36	247	70
29	-36	246	71
28	-35	249	72
27	-35	246	73
26	-34	241	74
25	-33	244	75
24	-33	244	76
23	-33	246	77
22	-32	247	78
21	-32	248	79
20	-31	244	80
19	-31	243	81
18	-30	243	82
17	-29	246	83
16	-29	243	84
15	-28	246	85
14	-27	246	86
13	-27	246	87
12	-26	246	88
12	-25	244	89
12	-24	241	90
11	-23	239	91
11	-22	240	92
11	-21	243	93
11	-20	248	94
11	-19	251	95
11	-18	250	96
11	-17	247	97
11	-16	247	98
12	-15	249	99
13	-14	249	100
13	-13	248	101
14	-12	249	102
15	-12	249	103
16	-11	251	104
17	-11	251	105
18	-11	251	106
19	-10	253	107
20	-10	253	108
21	-10	252	109
22	-10	251	110
23	-10	250	111
24	-10	249	112
25	-10	249	113
26	-10	248	114
27	-10	247	115
28	-10	247	116
29	-10	249	117
30	-10	250	118
31	-10	248	119
32	-10	247	120
33	-10	247	121
34	-11	248	122
35	-11	249	123
36	-11	249	124
37	-11	248	125
38	-12	248	126
39	-13	249	127
40	-13	250	128
41	-14	253	129
42	-14	252	130
43	-15	248	131
44	-16	244	132
45	-16	245	133
46	-16	247	134
47	-16	249	135
48	-17	248	136
49	-17	248	137
50	-17	250	138
51	-18	251	139
