x	y	intensity	time_series
5	-48	232	1
6	-49	234	2
7	-49	235	3
8	-50	236	4
9	-50	233	5
10	-51	229	6
11	-51	229	7
12	-51	232	8
13	-51	236	9
14	-51	241	10
15	-52	241	11
16	-52	242	12
17	-53	242	13
18	-53	243	14
19	-53	245	15
20	-53	246	16
21	-53	247	17
22	-53	247	18
23	-54	241	19
24	-54	239	20
25	-54	240	21
26	-54	243	22
27	-54	246	23
28	-54	251	24
29	-53	247	25
30	-53	247	26
31	-52	243	27
32	-52	242	28
33	-51	241	29
34	-51	243	30
35	-50	249	31
35	-49	248	32
35	-48	248	33
35	-47	248	34
35	-46	251	35
35	-45	252	36
35	-44	251	37
35	-43	250	38
34	-42	246	39
34	-41	245	40
34	-40	242	41
33	-39	235	42
32	-38	238	43
31	-37	251	44
31	-36	252	45
30	-35	244	46
29	-34	249	47
28	-33	251	48
27	-33	250	49
26	-32	248	50
25	-31	248	51
24	-30	250	52
23	-29	252	53
22	-28	251	54
22	-27	249	55
21	-26	248	56
20	-26	248	57
19	-25	248	58
18	-25	248	59
17	-24	246	60
16	-24	247	61
15	-23	253	62
14	-22	251	63
13	-21	250	64
12	-20	250	65
11	-19	243	66
11	-18	240	67
11	-17	242	68
11	-16	246	69
10	-15	249	70
11	-14	247	71
12	-13	249	72
13	-12	253	73
14	-11	253	74
15	-11	251	75
16	-11	248	76
17	-11	246	77
18	-10	247	78
19	-10	247	79
20	-10	246	80
21	-10	248	81
22	-10	250	82
23	-10	250	83
24	-11	247	84
25	-11	248	85
26	-11	251	86
27	-12	254	87
28	-13	252	88
