x	y	intensity	time_series
2	-58	189	1
3	-58	206	2
4	-58	210	3
5	-58	190	4
6	-58	169	5
7	-58	159	6
8	-58	154	7
9	-58	163	8
10	-57	216	9
11	-57	228	10
12	-57	236	11
13	-57	238	12
14	-57	240	13
15	-57	240	14
16	-57	239	15
17	-57	238	16
18	-56	245	17
19	-56	247	18
20	-56	248	19
21	-56	246	20
22	-56	243	21
23	-56	242	22
24	-56	243	23
25	-55	245	24
26	-55	247	25
27	-55	248	26
28	-55	248	27
29	-55	247	28
30	-55	245	29
31	-55	244	30
32	-55	244	31
33	-55	244	32
34	-55	246	33
35	-55	246	34
36	-54	248	35
37	-54	249	36
38	-54	249	37
39	-54	249	38
40	-54	249	39
41	-53	251	40
42	-52	251	41
42	-51	250	42
42	-50	249	43
41	-49	248	44
41	-48	248	45
40	-47	250	46
40	-46	252	47
39	-45	252	48
38	-44	251	49
37	-43	250	50
36	-43	248	51
35	-42	245	52
34	-42	246	53
33	-41	246	54
32	-41	246	55
31	-41	246	56
30	-41	246	57
29	-40	247	58
28	-39	245	59
27	-39	242	60
26	-38	244	61
25	-37	251	62
24	-36	252	63
23	-36	252	64
22	-35	251	65
21	-35	251	66
20	-34	248	67
19	-33	249	68
18	-33	249	69
17	-32	252	70
16	-31	253	71
15	-30	248	72
14	-29	243	73
13	-28	248	74
12	-27	247	75
11	-27	247	76
10	-26	250	77
10	-25	249	78
9	-24	247	79
8	-23	249	80
8	-22	252	81
8	-21	253	82
8	-20	251	83
7	-19	248	84
7	-18	249	85
7	-17	250	86
8	-16	250	87
9	-15	253	88
10	-15	253	89
11	-15	253	90
12	-15	253	91
13	-15	251	92
14	-16	251	93
15	-16	250	94
16	-16	249	95
17	-17	248	96
18	-18	249	97
19	-19	252	98
20	-20	253	99
21	-21	251	100
21	-22	248	101
22	-23	247	102
