x	y	intensity	time_series
18	-53	251	1
19	-52	249	2
20	-51	249	3
21	-50	250	4
22	-49	251	5
23	-49	251	6
24	-48	253	7
25	-48	253	8
26	-48	253	9
27	-48	253	10
28	-49	252	11
29	-49	253	12
30	-49	253	13
31	-49	253	14
32	-49	253	15
33	-49	252	16
34	-49	251	17
35	-49	251	18
36	-48	248	19
37	-47	250	20
38	-46	248	21
38	-45	249	22
37	-44	251	23
37	-43	253	24
36	-42	251	25
36	-41	250	26
35	-40	251	27
34	-40	253	28
33	-40	254	29
32	-40	254	30
31	-39	252	31
30	-39	251	32
29	-39	250	33
28	-38	251	34
27	-38	251	35
26	-38	251	36
25	-37	250	37
24	-37	250	38
23	-37	249	39
22	-37	249	40
21	-36	249	41
20	-36	248	42
19	-36	248	43
18	-35	247	44
17	-35	252	45
16	-34	251	46
15	-33	247	47
14	-33	248	48
13	-32	252	49
12	-32	252	50
11	-32	249	51
10	-31	250	52
9	-30	252	53
9	-29	252	54
8	-28	244	55
8	-27	241	56
7	-26	247	57
7	-25	247	58
7	-24	251	59
8	-23	251	60
8	-22	249	61
8	-21	246	62
9	-20	247	63
9	-19	249	64
10	-18	251	65
11	-18	250	66
12	-17	250	67
13	-16	251	68
14	-15	249	69
15	-15	248	70
16	-14	244	71
17	-14	244	72
18	-13	250	73
19	-13	251	74
20	-13	251	75
21	-13	250	76
22	-13	250	77
23	-13	249	78
24	-13	248	79
25	-13	247	80
26	-13	246	81
27	-13	247	82
28	-13	248	83
29	-14	251	84
30	-15	250	85
31	-16	252	86
32	-17	252	87
