x	y	intensity	time_series
21	-63	211	1
22	-63	217	2
23	-63	216	3
24	-64	218	4
25	-64	222	5
26	-64	225	6
27	-64	225	7
28	-64	223	8
29	-65	232	9
30	-65	232	10
31	-65	233	11
32	-65	234	12
33	-65	235	13
34	-66	238	14
35	-66	238	15
36	-66	239	16
37	-66	241	17
38	-67	242	18
39	-67	243	19
40	-67	243	20
41	-67	242	21
42	-68	241	22
43	-68	242	23
44	-68	244	24
45	-68	237	25
46	-68	234	26
47	-68	233	27
48	-68	233	28
49	-68	227	29
50	-68	217	30
51	-68	205	31
52	-68	189	32
53	-68	170	33
54	-68	156	34
55	-67	160	35
56	-67	140	36
57	-67	128	37
58	-66	139	38
59	-66	137	39
60	-65	131	40
61	-64	140	41
62	-63	124	42
62	-62	115	43
62	-61	123	44
62	-60	131	45
62	-59	131	46
62	-58	126	47
61	-57	125	48
61	-56	125	49
61	-55	119	50
60	-54	112	51
59	-53	111	52
58	-53	120	53
57	-52	109	54
56	-51	112	55
55	-50	129	56
54	-50	127	57
53	-49	158	58
52	-49	159	59
51	-48	206	60
50	-48	202	61
49	-47	229	62
48	-47	226	63
47	-46	242	64
46	-46	242	65
45	-45	243	66
44	-45	241	67
43	-44	243	68
42	-44	245	69
41	-43	248	70
40	-43	249	71
39	-43	250	72
38	-43	251	73
37	-42	250	74
36	-42	249	75
35	-41	248	76
34	-41	247	77
33	-40	247	78
32	-40	246	79
31	-40	244	80
30	-39	244	81
29	-39	246	82
28	-38	249	83
27	-38	251	84
26	-38	251	85
25	-37	251	86
24	-37	250	87
23	-36	252	88
22	-36	252	89
21	-35	252	90
20	-35	250	91
19	-35	248	92
18	-34	250	93
17	-34	250	94
16	-33	251	95
15	-33	252	96
14	-32	248	97
13	-31	246	98
12	-31	246	99
11	-30	248	100
10	-29	251	101
9	-28	251	102
9	-27	249	103
9	-26	245	104
9	-25	246	105
8	-24	250	106
8	-23	253	107
9	-22	252	108
9	-21	252	109
9	-20	252	110
9	-19	252	111
10	-18	251	112
11	-17	248	113
12	-16	248	114
13	-16	252	115
14	-16	252	116
15	-16	252	117
16	-16	252	118
17	-16	252	119
18	-16	253	120
19	-16	254	121
20	-16	253	122
21	-16	252	123
22	-17	246	124
23	-17	247	125
24	-18	251	126
25	-19	251	127
26	-19	251	128
27	-20	251	129
28	-21	250	130
29	-22	247	131
30	-22	247	132
31	-23	248	133
32	-24	251	134
33	-25	251	135
