x	y	intensity	time_series
46	-58	223	1
46	-57	228	2
47	-56	230	3
47	-55	228	4
47	-54	227	5
47	-53	228	6
46	-52	234	7
46	-51	237	8
45	-50	238	9
45	-49	237	10
44	-48	236	11
43	-48	236	12
42	-47	234	13
41	-46	238	14
40	-45	241	15
39	-45	241	16
38	-44	242	17
37	-43	243	18
36	-43	246	19
35	-42	243	20
34	-42	238	21
33	-42	234	22
32	-41	236	23
31	-41	240	24
30	-41	241	25
29	-41	243	26
28	-41	242	27
27	-41	241	28
26	-41	241	29
25	-40	235	30
24	-40	235	31
23	-39	232	32
22	-38	239	33
21	-38	240	34
20	-38	241	35
19	-37	237	36
18	-36	237	37
17	-36	237	38
16	-35	239	39
15	-35	240	40
14	-34	247	41
13	-34	248	42
12	-34	247	43
