x	y	intensity	time_series
2	-54	237	1
3	-54	238	2
4	-54	238	3
5	-54	238	4
6	-54	239	5
7	-54	240	6
8	-55	238	7
9	-55	241	8
10	-55	243	9
11	-56	248	10
12	-56	244	11
13	-56	239	12
14	-56	237	13
15	-56	237	14
16	-56	239	15
17	-56	237	16
18	-56	237	17
19	-56	238	18
20	-56	240	19
21	-57	238	20
22	-57	239	21
23	-58	211	22
24	-58	204	23
25	-58	187	24
26	-58	179	25
27	-58	173	26
28	-58	167	27
29	-58	161	28
30	-58	162	29
31	-58	160	30
32	-58	154	31
33	-58	151	32
34	-58	162	33
35	-57	218	34
36	-56	241	35
36	-55	250	36
36	-54	244	37
36	-53	245	38
36	-52	251	39
36	-51	252	40
35	-50	251	41
35	-49	252	42
34	-48	253	43
34	-47	252	44
34	-46	250	45
33	-45	252	46
32	-44	252	47
32	-43	249	48
31	-42	248	49
30	-41	250	50
30	-40	252	51
29	-39	253	52
28	-38	251	53
28	-37	249	54
27	-36	251	55
26	-35	252	56
25	-34	252	57
24	-33	250	58
24	-32	251	59
23	-31	252	60
22	-30	253	61
21	-29	254	62
20	-28	251	63
20	-27	251	64
19	-26	251	65
18	-25	253	66
17	-24	253	67
16	-23	252	68
15	-22	253	69
14	-21	252	70
14	-20	250	71
13	-19	250	72
13	-18	251	73
12	-17	253	74
12	-16	254	75
11	-15	253	76
11	-14	253	77
11	-13	253	78
11	-12	252	79
10	-11	252	80
10	-10	252	81
11	-9	250	82
12	-8	250	83
13	-7	251	84
14	-7	252	85
15	-7	253	86
16	-7	254	87
17	-8	254	88
18	-8	254	89
19	-8	254	90
20	-8	253	91
21	-9	251	92
22	-9	251	93
23	-9	251	94
24	-9	250	95
25	-10	247	96
26	-10	247	97
27	-10	248	98
28	-11	250	99
29	-12	253	100
30	-13	254	101
31	-14	254	102
32	-15	253	103
33	-16	244	104
34	-17	246	105
