x	y	intensity	time_series
10	-48	250	1
11	-49	245	2
12	-49	247	3
13	-49	249	4
14	-50	248	5
15	-50	250	6
16	-50	250	7
17	-50	249	8
18	-51	240	9
19	-51	241	10
20	-51	243	11
21	-52	237	12
22	-52	237	13
23	-52	238	14
24	-52	242	15
25	-53	243	16
26	-53	245	17
27	-53	246	18
28	-53	245	19
29	-53	245	20
30	-54	245	21
31	-54	247	22
32	-54	246	23
33	-54	246	24
34	-54	247	25
35	-54	249	26
36	-54	249	27
37	-54	248	28
38	-54	249	29
39	-54	250	30
40	-54	250	31
41	-55	245	32
42	-55	245	33
43	-55	244	34
44	-55	244	35
45	-55	243	36
46	-55	245	37
47	-55	246	38
48	-55	248	39
49	-55	249	40
50	-55	249	41
51	-55	244	42
52	-54	244	43
53	-54	247	44
54	-53	248	45
55	-53	247	46
56	-53	247	47
57	-52	247	48
58	-51	243	49
59	-50	242	50
60	-49	241	51
61	-48	247	52
61	-47	249	53
60	-46	251	54
60	-45	245	55
60	-44	244	56
59	-43	247	57
58	-42	246	58
57	-41	245	59
56	-40	249	60
55	-40	249	61
54	-40	249	62
53	-39	248	63
52	-39	246	64
51	-38	245	65
50	-38	246	66
49	-38	246	67
48	-37	245	68
47	-37	246	69
46	-36	247	70
45	-36	249	71
44	-36	250	72
43	-35	249	73
42	-35	249	74
41	-35	248	75
40	-34	247	76
39	-34	247	77
38	-33	246	78
37	-33	246	79
36	-32	248	80
35	-31	250	81
34	-31	249	82
33	-31	247	83
32	-30	249	84
31	-30	248	85
30	-30	247	86
29	-30	247	87
28	-29	247	88
27	-29	243	89
26	-28	237	90
25	-28	237	91
24	-27	250	92
23	-27	249	93
22	-26	251	94
21	-26	250	95
20	-26	248	96
19	-25	246	97
18	-25	246	98
17	-25	246	99
16	-25	246	100
15	-24	245	101
14	-24	245	102
13	-23	243	103
12	-23	242	104
11	-23	241	105
10	-22	239	106
9	-21	248	107
8	-21	249	108
7	-20	251	109
7	-19	251	110
7	-18	249	111
6	-17	249	112
6	-16	249	113
7	-15	248	114
7	-14	244	115
8	-13	242	116
9	-12	249	117
10	-12	249	118
11	-12	248	119
12	-12	248	120
13	-11	247	121
14	-11	246	122
15	-11	247	123
16	-11	249	124
17	-11	249	125
18	-11	248	126
19	-11	246	127
20	-11	247	128
21	-11	248	129
22	-11	250	130
23	-11	251	131
24	-11	251	132
25	-11	250	133
26	-11	250	134
27	-11	249	135
28	-11	249	136
29	-12	247	137
30	-12	248	138
31	-13	247	139
32	-13	247	140
33	-13	248	141
34	-14	247	142
35	-14	248	143
36	-15	250	144
37	-15	251	145
38	-15	252	146
39	-16	251	147
40	-16	250	148
41	-17	245	149
42	-17	247	150
43	-18	249	151
44	-19	249	152
45	-20	246	153
46	-21	243	154
47	-22	247	155
47	-23	249	156
47	-24	246	157
