x	y	intensity	time_series
8	-51	244	1
9	-51	244	2
10	-51	244	3
11	-51	248	4
12	-51	248	5
13	-52	247	6
14	-53	245	7
15	-54	244	8
16	-54	245	9
17	-55	239	10
18	-56	237	11
19	-56	236	12
20	-57	236	13
21	-58	236	14
22	-58	237	15
23	-58	235	16
24	-58	231	17
25	-59	225	18
26	-59	223	19
27	-60	224	20
28	-60	222	21
29	-60	218	22
30	-61	210	23
31	-61	210	24
32	-62	183	25
33	-62	179	26
34	-63	150	27
35	-63	148	28
36	-64	136	29
37	-64	137	30
38	-64	141	31
39	-65	148	32
40	-65	152	33
41	-65	152	34
42	-65	143	35
43	-66	185	36
44	-66	192	37
45	-66	198	38
46	-66	208	39
47	-66	220	40
48	-67	228	41
49	-67	229	42
50	-68	229	43
51	-68	228	44
52	-68	235	45
53	-68	234	46
54	-68	231	47
55	-68	230	48
56	-68	232	49
57	-69	235	50
58	-69	232	51
59	-69	227	52
60	-69	224	53
61	-69	224	54
62	-69	211	55
63	-69	193	56
64	-69	170	57
65	-69	148	58
66	-69	142	59
67	-69	144	60
68	-69	147	61
69	-69	149	62
70	-70	150	63
71	-70	150	64
72	-70	160	65
73	-70	174	66
74	-70	188	67
75	-69	167	68
75	-68	158	69
76	-67	159	70
75	-66	153	71
75	-65	156	72
75	-64	155	73
74	-63	145	74
74	-62	141	75
73	-61	155	76
72	-61	173	77
71	-60	156	78
70	-59	151	79
69	-59	148	80
68	-58	148	81
67	-58	147	82
66	-57	154	83
65	-57	157	84
64	-56	186	85
63	-56	185	86
62	-56	183	87
61	-55	220	88
60	-54	243	89
59	-54	242	90
58	-53	243	91
57	-52	240	92
56	-52	240	93
55	-52	239	94
54	-51	246	95
53	-51	248	96
52	-51	248	97
51	-50	250	98
50	-50	251	99
49	-49	254	100
48	-49	254	101
47	-48	253	102
46	-48	254	103
45	-47	252	104
44	-47	253	105
43	-47	253	106
42	-46	253	107
41	-46	250	108
40	-46	249	109
39	-45	248	110
38	-45	247	111
37	-44	247	112
36	-44	247	113
35	-43	251	114
34	-43	252	115
33	-42	251	116
32	-42	250	117
31	-42	248	118
30	-42	247	119
29	-41	249	120
28	-41	248	121
27	-40	249	122
26	-40	248	123
25	-39	251	124
24	-38	248	125
23	-38	251	126
22	-37	252	127
21	-37	252	128
20	-37	251	129
19	-37	251	130
18	-36	247	131
17	-35	249	132
16	-35	250	133
15	-34	251	134
14	-34	251	135
13	-33	252	136
12	-32	254	137
11	-32	253	138
10	-31	252	139
9	-30	251	140
8	-29	245	141
8	-28	248	142
7	-27	251	143
7	-26	251	144
6	-25	250	145
6	-24	251	146
6	-23	251	147
6	-22	251	148
6	-21	251	149
6	-20	252	150
6	-19	252	151
6	-18	252	152
7	-17	252	153
7	-16	250	154
8	-15	243	155
9	-14	244	156
10	-13	251	157
11	-12	251	158
12	-12	250	159
13	-11	248	160
14	-10	253	161
15	-10	252	162
16	-9	251	163
17	-9	251	164
18	-8	253	165
19	-8	252	166
20	-8	252	167
21	-8	252	168
22	-7	250	169
23	-7	250	170
24	-7	249	171
25	-7	249	172
26	-6	253	173
27	-6	253	174
28	-6	253	175
29	-6	253	176
30	-6	253	177
31	-6	252	178
32	-6	249	179
33	-7	250	180
34	-7	241	181
35	-7	244	182
36	-7	249	183
37	-8	242	184
38	-8	241	185
39	-9	233	186
40	-10	232	187
41	-11	231	188
42	-12	235	189
42	-13	243	190
42	-14	247	191
43	-15	246	192
43	-16	247	193
