x	y	intensity	time_series
22	-22	252	1
21	-22	251	2
20	-22	251	3
19	-22	249	4
18	-22	248	5
17	-22	248	6
16	-21	248	7
16	-20	251	8
15	-19	251	9
15	-18	249	10
15	-17	251	11
15	-16	252	12
15	-15	252	13
15	-14	251	14
15	-13	252	15
16	-12	254	16
17	-12	254	17
18	-12	254	18
19	-12	254	19
20	-13	254	20
21	-13	254	21
22	-13	254	22
23	-14	252	23
24	-14	251	24
25	-15	252	25
26	-15	252	26
27	-14	250	27
28	-14	249	28
29	-13	247	29
30	-12	249	30
30	-11	252	31
30	-10	251	32
31	-9	251	33
32	-9	252	34
33	-9	250	35
