x	y	intensity	time_series
11	-43	248	1
12	-43	250	2
13	-43	251	3
14	-44	244	4
15	-43	251	5
16	-43	249	6
17	-44	242	7
18	-44	241	8
19	-44	243	9
20	-44	245	10
21	-44	247	11
22	-44	247	12
23	-45	246	13
24	-45	245	14
25	-46	241	15
26	-45	241	16
27	-44	245	17
28	-43	251	18
29	-42	249	19
30	-41	243	20
31	-40	235	21
32	-39	233	22
32	-38	243	23
31	-37	248	24
30	-36	248	25
29	-35	246	26
28	-34	246	27
27	-34	249	28
26	-34	251	29
25	-35	250	30
24	-34	250	31
23	-33	244	32
22	-32	240	33
21	-31	242	34
20	-30	243	35
19	-30	241	36
18	-30	242	37
17	-29	250	38
16	-28	244	39
15	-27	239	40
14	-26	243	41
13	-26	245	42
12	-25	249	43
11	-24	241	44
10	-23	243	45
10	-22	253	46
9	-21	250	47
9	-20	250	48
9	-19	250	49
9	-18	250	50
8	-17	249	51
8	-16	249	52
8	-15	249	53
8	-14	249	54
8	-13	249	55
8	-12	248	56
9	-11	249	57
10	-10	248	58
11	-9	245	59
12	-9	248	60
13	-8	251	61
14	-7	250	62
15	-7	249	63
16	-7	248	64
17	-7	248	65
18	-7	248	66
19	-7	249	67
20	-7	250	68
21	-8	250	69
22	-8	250	70
