x	y	intensity	time_series
29	-61	127	1
30	-60	128	2
31	-59	131	3
32	-59	126	4
33	-58	139	5
34	-57	196	6
35	-57	215	7
36	-57	230	8
37	-57	235	9
38	-56	237	10
39	-56	239	11
40	-56	237	12
41	-55	239	13
42	-55	240	14
43	-55	241	15
44	-54	241	16
45	-54	241	17
46	-54	241	18
47	-54	241	19
48	-54	241	20
49	-54	241	21
50	-54	242	22
51	-54	243	23
52	-54	243	24
53	-54	243	25
54	-54	243	26
55	-54	242	27
56	-54	242	28
57	-54	243	29
58	-54	244	30
59	-53	247	31
60	-54	248	32
61	-54	248	33
62	-54	245	34
63	-54	242	35
64	-54	239	36
65	-54	237	37
66	-54	237	38
67	-53	238	39
68	-53	239	40
69	-53	240	41
70	-53	243	42
71	-53	246	43
72	-52	243	44
73	-51	245	45
74	-50	247	46
74	-49	244	47
73	-48	245	48
73	-47	245	49
73	-46	245	50
72	-45	245	51
71	-44	244	52
70	-43	245	53
69	-43	246	54
68	-42	245	55
67	-42	244	56
66	-42	244	57
65	-41	243	58
64	-41	244	59
63	-41	244	60
62	-41	244	61
61	-41	243	62
60	-41	243	63
59	-41	244	64
58	-40	245	65
57	-40	244	66
56	-40	243	67
55	-40	244	68
54	-39	247	69
53	-39	247	70
52	-39	245	71
51	-39	242	72
50	-39	238	73
49	-39	234	74
48	-39	237	75
47	-39	240	76
46	-38	243	77
45	-38	241	78
44	-38	240	79
43	-38	242	80
42	-38	244	81
41	-37	243	82
40	-37	241	83
39	-37	243	84
38	-37	245	85
37	-37	246	86
36	-37	248	87
35	-37	249	88
34	-36	244	89
33	-36	245	90
32	-36	246	91
31	-36	247	92
30	-35	245	93
29	-35	244	94
28	-35	242	95
27	-34	240	96
26	-34	240	97
25	-34	240	98
24	-34	241	99
23	-34	243	100
22	-34	244	101
21	-33	246	102
20	-33	247	103
19	-32	245	104
18	-32	243	105
17	-31	247	106
16	-31	246	107
15	-30	247	108
14	-30	247	109
13	-29	246	110
12	-29	246	111
11	-28	247	112
10	-27	250	113
9	-26	249	114
9	-25	247	115
9	-24	245	116
8	-23	244	117
8	-22	243	118
8	-21	240	119
8	-20	240	120
9	-19	241	121
9	-18	240	122
9	-17	238	123
10	-16	239	124
11	-15	241	125
12	-14	244	126
13	-14	242	127
14	-13	244	128
15	-13	245	129
16	-12	250	130
17	-12	251	131
18	-11	252	132
19	-11	249	133
20	-11	247	134
21	-10	247	135
22	-10	246	136
23	-10	246	137
24	-10	245	138
25	-10	244	139
26	-10	244	140
27	-11	241	141
28	-11	242	142
29	-11	241	143
30	-12	239	144
31	-12	239	145
32	-12	240	146
33	-13	240	147
34	-13	241	148
35	-14	247	149
36	-14	248	150
37	-15	245	151
38	-15	242	152
39	-15	241	153
40	-16	243	154
41	-17	244	155
42	-18	241	156
43	-18	242	157
44	-19	242	158
45	-20	242	159
