x	y	intensity	time_series
16	-52	241	1
17	-52	239	2
18	-52	237	3
19	-52	238	4
20	-51	239	5
21	-51	242	6
22	-50	240	7
23	-50	242	8
24	-50	242	9
25	-50	242	10
26	-50	242	11
27	-50	242	12
28	-50	243	13
29	-50	249	14
30	-50	245	15
31	-51	243	16
32	-51	242	17
33	-51	242	18
34	-51	242	19
35	-51	243	20
36	-51	243	21
37	-51	242	22
38	-51	241	23
39	-51	238	24
40	-52	240	25
41	-52	240	26
42	-52	241	27
43	-52	242	28
44	-52	240	29
45	-52	239	30
46	-52	239	31
47	-52	242	32
48	-51	244	33
49	-50	248	34
50	-49	248	35
49	-48	244	36
48	-47	245	37
48	-46	243	38
47	-45	244	39
46	-45	245	40
45	-44	247	41
44	-44	247	42
43	-43	244	43
42	-43	244	44
41	-43	244	45
40	-43	246	46
39	-42	244	47
38	-42	245	48
37	-42	246	49
36	-42	246	50
35	-42	246	51
34	-41	243	52
33	-41	242	53
32	-40	242	54
31	-40	243	55
30	-40	243	56
29	-39	247	57
28	-39	243	58
27	-39	241	59
26	-39	239	60
25	-38	241	61
24	-38	241	62
23	-38	240	63
22	-38	241	64
21	-37	242	65
20	-37	240	66
19	-36	243	67
18	-36	243	68
17	-35	247	69
16	-35	247	70
15	-34	248	71
14	-33	247	72
13	-33	247	73
12	-32	243	74
11	-31	248	75
10	-30	249	76
10	-29	247	77
10	-28	247	78
10	-27	248	79
9	-26	248	80
9	-25	242	81
10	-24	238	82
10	-23	250	83
10	-22	247	84
11	-21	245	85
12	-20	244	86
13	-19	244	87
14	-19	245	88
15	-19	246	89
16	-18	249	90
17	-17	248	91
18	-16	244	92
19	-16	243	93
20	-15	246	94
21	-15	246	95
22	-15	246	96
23	-15	247	97
24	-15	246	98
25	-15	245	99
26	-15	243	100
27	-15	241	101
28	-15	240	102
29	-16	245	103
30	-16	245	104
31	-16	246	105
32	-17	248	106
33	-18	247	107
34	-18	247	108
35	-19	250	109
36	-20	251	110
37	-21	251	111
37	-22	247	112
38	-23	244	113
39	-23	246	114
40	-24	244	115
