x	y	intensity	time_series
5	-57	234	1
6	-56	237	2
7	-56	241	3
8	-56	246	4
9	-56	249	5
10	-56	248	6
11	-56	244	7
12	-56	241	8
13	-56	240	9
14	-56	241	10
15	-56	242	11
16	-56	242	12
17	-56	242	13
18	-56	242	14
19	-56	243	15
20	-56	243	16
21	-57	240	17
22	-57	240	18
23	-57	239	19
24	-57	238	20
25	-57	239	21
26	-57	239	22
27	-57	237	23
28	-57	237	24
29	-57	239	25
30	-58	222	26
31	-58	217	27
32	-58	209	28
33	-58	204	29
34	-58	205	30
35	-58	201	31
36	-58	194	32
37	-58	188	33
38	-58	190	34
39	-59	147	35
40	-59	141	36
41	-59	137	37
42	-59	136	38
43	-59	129	39
44	-59	127	40
45	-59	133	41
46	-59	146	42
47	-59	147	43
48	-58	176	44
48	-57	219	45
49	-56	243	46
49	-55	248	47
48	-54	249	48
48	-53	248	49
48	-52	248	50
47	-51	251	51
46	-50	253	52
45	-49	252	53
44	-48	252	54
43	-47	252	55
42	-46	251	56
41	-46	251	57
40	-45	253	58
39	-45	254	59
38	-45	254	60
37	-44	253	61
36	-43	254	62
35	-43	253	63
34	-42	250	64
33	-41	249	65
32	-40	251	66
31	-40	251	67
30	-39	252	68
29	-38	251	69
28	-38	251	70
27	-37	252	71
26	-36	254	72
25	-36	253	73
24	-35	253	74
23	-34	250	75
22	-34	250	76
21	-33	250	77
20	-32	249	78
19	-31	248	79
18	-30	248	80
17	-29	248	81
17	-28	248	82
17	-27	249	83
16	-26	251	84
16	-25	251	85
16	-24	251	86
16	-23	251	87
16	-22	252	88
17	-21	253	89
18	-20	252	90
19	-20	252	91
20	-20	251	92
21	-20	251	93
