x	y	intensity	time_series
20	-55	245	1
21	-55	245	2
22	-55	244	3
23	-55	243	4
24	-55	243	5
25	-55	243	6
26	-55	244	7
27	-55	244	8
28	-55	244	9
29	-56	238	10
30	-56	236	11
31	-56	237	12
32	-57	239	13
33	-57	240	14
34	-57	239	15
35	-57	238	16
36	-57	238	17
37	-57	240	18
38	-57	235	19
39	-57	234	20
40	-57	234	21
41	-57	235	22
42	-57	235	23
43	-57	237	24
44	-57	238	25
45	-57	239	26
46	-57	239	27
47	-57	238	28
48	-57	238	29
49	-57	239	30
50	-57	239	31
51	-57	241	32
52	-57	242	33
53	-57	242	34
54	-57	240	35
55	-56	238	36
56	-56	239	37
57	-56	242	38
58	-56	241	39
59	-56	239	40
60	-55	246	41
61	-54	247	42
62	-53	244	43
62	-52	243	44
62	-51	242	45
63	-50	241	46
62	-49	238	47
62	-48	239	48
62	-47	241	49
62	-46	244	50
61	-45	245	51
60	-44	245	52
59	-44	245	53
58	-43	244	54
57	-42	242	55
56	-41	243	56
55	-41	244	57
54	-40	245	58
53	-40	246	59
52	-39	246	60
51	-39	246	61
50	-38	243	62
49	-37	239	63
48	-37	242	64
47	-36	249	65
46	-36	245	66
45	-35	248	67
44	-35	249	68
43	-35	250	69
42	-34	247	70
41	-34	243	71
40	-33	239	72
39	-32	237	73
38	-32	234	74
37	-32	234	75
36	-32	236	76
35	-31	242	77
34	-31	243	78
33	-31	242	79
32	-31	240	80
31	-30	238	81
30	-30	238	82
29	-29	240	83
28	-29	243	84
27	-29	243	85
26	-29	244	86
25	-28	243	87
24	-28	242	88
23	-28	239	89
22	-27	239	90
21	-27	242	91
20	-27	244	92
19	-26	248	93
18	-26	247	94
17	-26	247	95
16	-25	247	96
15	-25	246	97
14	-24	245	98
13	-24	245	99
12	-23	244	100
11	-22	243	101
11	-21	241	102
10	-20	239	103
9	-19	246	104
9	-18	248	105
10	-17	248	106
10	-16	243	107
10	-15	240	108
11	-14	244	109
12	-13	244	110
13	-13	243	111
14	-13	243	112
15	-13	242	113
16	-12	240	114
17	-12	240	115
18	-12	240	116
