x	y	intensity	time_series
2	-44	253	1
3	-45	252	2
4	-46	249	3
5	-46	248	4
6	-46	247	5
7	-46	246	6
8	-47	245	7
9	-47	249	8
10	-48	253	9
11	-49	251	10
12	-49	251	11
13	-50	251	12
14	-50	250	13
15	-51	250	14
16	-51	248	15
17	-51	247	16
18	-51	247	17
19	-51	247	18
20	-51	248	19
21	-52	249	20
22	-52	250	21
23	-53	244	22
24	-53	244	23
25	-53	245	24
26	-54	240	25
27	-54	236	26
28	-54	238	27
29	-54	239	28
30	-54	239	29
31	-55	234	30
32	-55	234	31
33	-56	237	32
34	-56	238	33
35	-56	239	34
36	-56	239	35
37	-56	238	36
38	-56	235	37
39	-56	230	38
40	-56	233	39
41	-57	243	40
42	-57	243	41
43	-57	241	42
44	-57	237	43
45	-57	236	44
46	-57	237	45
47	-57	240	46
48	-58	238	47
49	-58	239	48
50	-58	235	49
51	-58	228	50
52	-58	219	51
53	-58	214	52
54	-58	220	53
55	-58	229	54
56	-58	231	55
57	-58	224	56
58	-58	211	57
59	-58	207	58
60	-58	213	59
61	-58	223	60
62	-58	235	61
63	-57	246	62
64	-57	246	63
65	-56	249	64
66	-55	252	65
67	-54	249	66
67	-53	251	67
67	-52	247	68
66	-51	245	69
66	-50	247	70
66	-49	249	71
65	-48	249	72
64	-47	251	73
63	-46	252	74
62	-45	251	75
61	-44	248	76
60	-43	250	77
59	-43	249	78
58	-42	250	79
57	-41	250	80
56	-40	250	81
55	-40	250	82
54	-39	251	83
53	-39	253	84
52	-38	252	85
51	-38	253	86
50	-37	251	87
49	-37	250	88
48	-36	251	89
47	-35	251	90
46	-35	251	91
45	-34	248	92
44	-33	247	93
43	-33	248	94
42	-32	251	95
41	-32	252	96
40	-31	253	97
39	-30	252	98
38	-30	253	99
37	-29	252	100
36	-29	252	101
35	-28	250	102
34	-28	250	103
33	-28	249	104
32	-27	248	105
31	-26	249	106
30	-25	249	107
29	-24	249	108
28	-23	251	109
27	-23	251	110
26	-22	252	111
25	-21	253	112
24	-20	253	113
23	-19	250	114
23	-18	248	115
22	-17	250	116
22	-16	250	117
21	-15	250	118
21	-14	251	119
21	-13	251	120
21	-12	250	121
21	-11	249	122
22	-10	247	123
23	-9	244	124
24	-9	243	125
25	-9	243	126
26	-9	242	127
27	-9	242	128
28	-10	251	129
29	-11	252	130
30	-12	250	131
31	-13	252	132
