x	y	intensity	time_series
7	-56	229	1
8	-56	229	2
9	-56	229	3
10	-56	229	4
11	-56	229	5
12	-56	229	6
13	-56	229	7
14	-56	229	8
15	-56	229	9
16	-57	229	10
17	-57	229	11
18	-57	226	12
19	-57	232	13
20	-58	211	14
21	-58	205	15
22	-58	198	16
23	-58	202	17
24	-58	209	18
25	-58	203	19
26	-58	192	20
27	-58	190	21
28	-58	195	22
29	-59	153	23
30	-59	146	24
31	-59	140	25
32	-60	142	26
33	-60	153	27
34	-60	148	28
35	-60	145	29
36	-60	140	30
37	-60	137	31
38	-60	137	32
39	-60	147	33
40	-60	151	34
41	-60	149	35
42	-60	145	36
43	-60	142	37
44	-59	148	38
45	-58	159	39
45	-57	163	40
45	-56	178	41
44	-55	208	42
44	-54	240	43
43	-53	243	44
43	-52	250	45
42	-51	250	46
41	-51	249	47
40	-50	249	48
39	-49	251	49
38	-49	252	50
37	-48	251	51
36	-48	251	52
35	-47	251	53
34	-47	251	54
33	-47	249	55
32	-46	251	56
31	-46	251	57
30	-46	251	58
29	-45	250	59
28	-45	247	60
27	-45	246	61
26	-44	248	62
25	-44	248	63
24	-44	249	64
23	-43	251	65
22	-42	251	66
21	-42	250	67
20	-41	249	68
19	-41	249	69
18	-40	248	70
17	-40	248	71
16	-40	248	72
15	-39	250	73
14	-39	249	74
13	-38	250	75
12	-37	250	76
11	-37	251	77
10	-36	253	78
9	-35	254	79
8	-34	252	80
7	-33	249	81
7	-32	247	82
6	-31	250	83
6	-30	252	84
6	-29	250	85
6	-28	245	86
7	-27	246	87
7	-26	247	88
8	-25	248	89
8	-24	249	90
9	-23	248	91
10	-22	248	92
11	-22	248	93
12	-21	250	94
13	-20	252	95
14	-20	253	96
15	-19	250	97
16	-18	245	98
17	-17	247	99
18	-17	248	100
19	-16	249	101
20	-16	248	102
21	-15	247	103
22	-15	246	104
23	-15	247	105
24	-15	250	106
25	-15	250	107
26	-15	250	108
27	-15	251	109
