x	y	intensity	time_series
7	-43	246	1
8	-43	247	2
9	-44	245	3
10	-44	244	4
11	-45	237	5
12	-46	236	6
13	-46	238	7
14	-47	245	8
15	-48	240	9
16	-49	242	10
17	-50	246	11
18	-50	248	12
19	-50	246	13
20	-51	244	14
21	-51	242	15
22	-52	231	16
23	-53	231	17
24	-53	232	18
25	-53	235	19
26	-54	234	20
27	-55	229	21
28	-56	229	22
29	-57	237	23
30	-58	233	24
30	-59	229	25
31	-59	230	26
32	-60	217	27
33	-60	211	28
34	-60	211	29
35	-61	208	30
36	-61	206	31
37	-61	195	32
38	-61	192	33
39	-61	196	34
40	-61	204	35
41	-62	203	36
42	-62	199	37
43	-62	195	38
44	-62	192	39
45	-62	192	40
46	-62	192	41
47	-62	191	42
48	-62	189	43
49	-62	189	44
50	-62	189	45
51	-63	196	46
52	-63	197	47
53	-63	198	48
54	-63	201	49
55	-62	198	50
56	-61	201	51
57	-60	208	52
56	-59	213	53
56	-58	217	54
55	-57	220	55
55	-56	225	56
54	-55	225	57
54	-54	225	58
53	-53	224	59
52	-53	227	60
51	-53	231	61
50	-52	232	62
49	-51	236	63
49	-50	238	64
48	-49	242	65
47	-48	244	66
46	-48	245	67
45	-47	241	68
44	-46	240	69
43	-45	242	70
42	-45	243	71
41	-44	243	72
40	-44	240	73
39	-43	239	74
38	-42	241	75
37	-41	242	76
36	-41	242	77
35	-40	241	78
34	-40	241	79
33	-40	239	80
32	-40	237	81
31	-40	238	82
30	-39	244	83
30	-38	241	84
29	-37	242	85
29	-36	240	86
28	-35	229	87
27	-35	229	88
26	-34	229	89
26	-33	229	90
25	-32	229	91
25	-31	229	92
24	-30	229	93
23	-30	229	94
22	-30	229	95
21	-31	229	96
20	-30	229	97
19	-30	229	98
18	-30	229	99
17	-29	229	100
16	-28	229	101
15	-28	229	102
14	-27	229	103
13	-26	229	104
12	-25	238	105
11	-24	247	106
10	-23	245	107
10	-22	245	108
9	-21	246	109
9	-20	248	110
9	-19	248	111
8	-18	247	112
7	-18	247	113
6	-18	246	114
