x	y	intensity	time_series
9	-48	251	1
10	-47	250	2
11	-47	250	3
12	-47	250	4
13	-47	250	5
14	-48	251	6
15	-48	251	7
16	-48	251	8
17	-48	251	9
18	-48	251	10
19	-48	252	11
20	-48	252	12
21	-48	251	13
22	-48	250	14
23	-48	249	15
24	-48	248	16
25	-48	248	17
26	-48	248	18
27	-48	249	19
28	-48	248	20
29	-48	249	21
30	-49	250	22
31	-49	250	23
32	-49	250	24
33	-49	248	25
34	-49	246	26
35	-49	245	27
36	-49	246	28
37	-49	247	29
38	-49	249	30
39	-49	248	31
40	-49	249	32
41	-49	250	33
42	-49	250	34
43	-48	248	35
44	-48	248	36
45	-48	249	37
46	-48	251	38
47	-48	252	39
48	-47	247	40
49	-47	248	41
50	-46	248	42
50	-45	248	43
50	-44	249	44
50	-43	251	45
49	-42	250	46
49	-41	250	47
49	-40	250	48
48	-39	250	49
47	-38	250	50
46	-37	247	51
45	-37	246	52
44	-37	245	53
43	-36	241	54
42	-36	241	55
41	-35	242	56
40	-35	243	57
39	-35	244	58
38	-34	246	59
37	-34	249	60
36	-34	250	61
35	-33	249	62
34	-33	247	63
33	-32	241	64
32	-32	241	65
31	-32	242	66
30	-32	244	67
29	-32	245	68
28	-31	242	69
27	-31	244	70
26	-31	246	71
25	-30	247	72
24	-30	248	73
23	-30	248	74
22	-29	247	75
21	-29	247	76
20	-29	247	77
19	-28	246	78
18	-27	248	79
17	-26	248	80
16	-25	248	81
16	-24	249	82
15	-23	249	83
16	-22	247	84
17	-21	245	85
18	-20	249	86
19	-19	248	87
20	-18	246	88
21	-18	246	89
22	-18	247	90
23	-18	247	91
24	-18	247	92
25	-18	247	93
26	-18	247	94
