x	y	intensity	time_series
3	-53	240	1
4	-53	243	2
5	-53	245	3
6	-53	246	4
7	-54	243	5
8	-54	243	6
9	-54	242	7
10	-54	241	8
11	-55	241	9
12	-55	244	10
13	-56	241	11
14	-56	240	12
15	-57	231	13
16	-57	231	14
17	-57	230	15
18	-57	227	16
19	-58	195	17
20	-58	190	18
21	-58	188	19
22	-59	142	20
23	-59	138	21
24	-59	128	22
25	-59	115	23
26	-59	116	24
27	-59	119	25
28	-59	122	26
29	-59	127	27
30	-59	132	28
31	-58	165	29
32	-58	177	30
33	-57	222	31
33	-56	242	32
34	-55	239	33
34	-54	239	34
34	-53	239	35
34	-52	240	36
34	-51	239	37
34	-50	240	38
34	-49	241	39
34	-48	244	40
33	-47	245	41
33	-46	245	42
33	-45	244	43
32	-44	245	44
32	-43	247	45
32	-42	249	46
31	-41	245	47
30	-40	245	48
29	-39	247	49
29	-38	249	50
28	-37	248	51
27	-36	250	52
26	-35	250	53
26	-34	249	54
25	-33	247	55
24	-32	244	56
23	-31	246	57
22	-31	246	58
21	-30	247	59
21	-29	245	60
21	-28	244	61
20	-27	245	62
19	-26	246	63
18	-25	245	64
17	-24	244	65
16	-23	247	66
15	-22	245	67
14	-21	246	68
14	-20	248	69
13	-19	246	70
13	-18	244	71
12	-17	245	72
12	-16	246	73
12	-15	245	74
11	-14	243	75
11	-13	243	76
12	-12	244	77
12	-11	245	78
13	-10	243	79
14	-10	244	80
15	-10	244	81
16	-11	242	82
17	-11	243	83
18	-11	247	84
19	-12	245	85
