x	y	intensity	time_series
4	-44	248	1
5	-45	249	2
6	-46	237	3
7	-46	239	4
8	-47	241	5
9	-47	244	6
10	-47	246	7
11	-47	243	8
12	-47	243	9
13	-48	245	10
14	-48	245	11
15	-48	244	12
16	-48	244	13
17	-49	244	14
18	-49	244	15
19	-49	243	16
20	-49	244	17
21	-49	245	18
22	-50	247	19
23	-50	245	20
24	-50	245	21
25	-50	247	22
26	-51	248	23
27	-51	248	24
28	-51	249	25
29	-51	249	26
30	-52	248	27
31	-52	251	28
32	-52	252	29
33	-52	250	30
34	-52	248	31
35	-52	249	32
36	-52	250	33
37	-52	252	34
38	-51	249	35
39	-51	247	36
40	-50	247	37
41	-50	249	38
42	-49	248	39
43	-48	245	40
43	-47	248	41
43	-46	248	42
43	-45	244	43
43	-44	248	44
42	-43	251	45
42	-42	251	46
41	-41	249	47
40	-40	246	48
40	-39	249	49
39	-38	249	50
38	-37	249	51
37	-36	249	52
36	-35	252	53
35	-34	253	54
34	-34	252	55
33	-33	252	56
32	-32	251	57
31	-32	251	58
30	-31	253	59
29	-31	253	60
28	-30	252	61
27	-29	252	62
26	-29	252	63
25	-28	252	64
24	-28	252	65
23	-27	251	66
22	-26	251	67
21	-25	251	68
20	-24	251	69
19	-23	246	70
18	-22	243	71
17	-21	247	72
16	-20	247	73
15	-19	247	74
14	-18	253	75
13	-17	249	76
12	-16	249	77
12	-15	251	78
12	-14	252	79
12	-13	250	80
11	-12	250	81
12	-11	249	82
12	-10	248	83
12	-9	251	84
13	-8	246	85
13	-7	247	86
14	-6	251	87
15	-6	251	88
16	-5	252	89
17	-5	252	90
18	-5	251	91
19	-5	249	92
20	-5	248	93
21	-5	250	94
22	-5	252	95
23	-5	254	96
24	-5	254	97
25	-5	254	98
26	-5	251	99
27	-6	248	100
28	-6	249	101
29	-6	251	102
30	-6	252	103
31	-6	250	104
32	-7	249	105
33	-7	250	106
34	-8	250	107
35	-9	244	108
36	-10	246	109
36	-11	249	110
37	-12	249	111
