x	y	intensity	time_series
4	-47	238	1
5	-47	239	2
6	-48	239	3
7	-48	241	4
8	-48	243	5
9	-49	240	6
10	-49	239	7
11	-50	237	8
12	-50	237	9
13	-51	237	10
14	-51	232	11
15	-52	231	12
16	-52	232	13
17	-53	232	14
18	-53	232	15
19	-54	232	16
20	-54	232	17
21	-55	233	18
22	-55	232	19
23	-56	234	20
24	-56	235	21
25	-56	235	22
26	-57	232	23
27	-57	237	24
28	-57	239	25
29	-57	237	26
30	-57	234	27
31	-57	235	28
32	-56	241	29
33	-55	238	30
34	-54	236	31
34	-53	237	32
34	-52	238	33
33	-51	236	34
33	-50	231	35
33	-49	227	36
32	-48	228	37
31	-47	231	38
31	-46	231	39
30	-45	231	40
30	-44	231	41
29	-43	235	42
28	-42	240	43
27	-42	243	44
26	-41	246	45
26	-40	243	46
25	-39	237	47
24	-39	239	48
23	-38	236	49
22	-37	239	50
21	-36	242	51
20	-35	244	52
19	-35	245	53
18	-34	245	54
17	-33	245	55
16	-32	242	56
15	-32	242	57
14	-31	239	58
14	-30	238	59
13	-29	234	60
12	-28	240	61
11	-27	241	62
11	-26	238	63
11	-25	236	64
11	-24	240	65
11	-23	240	66
11	-22	239	67
12	-21	239	68
13	-21	238	69
14	-21	241	70
15	-20	246	71
16	-20	247	72
17	-19	247	73
18	-19	247	74
19	-19	245	75
