x	y	intensity	time_series
6	-37	244	1
7	-37	244	2
8	-38	247	3
9	-38	247	4
10	-38	247	5
11	-38	248	6
12	-39	248	7
13	-40	249	8
14	-41	249	9
15	-42	249	10
16	-43	251	11
17	-44	251	12
18	-44	251	13
19	-45	248	14
20	-45	249	15
21	-46	249	16
22	-47	252	17
23	-47	252	18
24	-48	251	19
25	-49	250	20
26	-49	250	21
27	-49	250	22
28	-50	248	23
29	-50	248	24
30	-51	248	25
31	-52	252	26
32	-52	252	27
33	-53	251	28
34	-53	251	29
35	-54	246	30
36	-54	246	31
37	-54	245	32
38	-55	243	33
39	-55	242	34
40	-55	240	35
41	-56	238	36
42	-56	237	37
43	-56	237	38
44	-57	237	39
45	-57	238	40
46	-57	243	41
47	-57	239	42
48	-57	235	43
49	-58	211	44
50	-57	227	45
51	-56	242	46
51	-55	243	47
50	-54	243	48
50	-53	244	49
49	-52	245	50
49	-51	246	51
49	-50	245	52
48	-49	243	53
47	-48	241	54
46	-48	237	55
45	-47	235	56
44	-46	235	57
43	-45	243	58
42	-44	244	59
41	-43	242	60
40	-42	240	61
39	-41	235	62
38	-41	236	63
37	-40	241	64
36	-39	251	65
35	-38	252	66
34	-38	251	67
33	-38	250	68
32	-37	247	69
31	-36	251	70
30	-35	251	71
29	-35	251	72
28	-34	250	73
27	-34	250	74
26	-33	251	75
25	-33	251	76
24	-32	250	77
23	-31	249	78
22	-31	249	79
21	-30	248	80
20	-30	248	81
19	-29	249	82
18	-29	250	83
17	-29	251	84
16	-28	252	85
15	-27	252	86
14	-26	247	87
13	-25	244	88
12	-24	249	89
11	-23	251	90
10	-22	250	91
10	-21	249	92
10	-20	250	93
10	-19	251	94
9	-18	251	95
9	-17	251	96
9	-16	251	97
9	-15	250	98
10	-14	249	99
10	-13	250	100
10	-12	250	101
11	-11	250	102
12	-11	250	103
13	-10	249	104
14	-9	248	105
15	-9	250	106
16	-8	251	107
17	-8	250	108
18	-7	248	109
19	-7	248	110
20	-7	250	111
21	-7	250	112
22	-7	250	113
23	-7	249	114
24	-7	248	115
25	-7	249	116
26	-7	249	117
27	-7	248	118
28	-8	248	119
29	-9	248	120
30	-10	250	121
31	-10	250	122
32	-11	252	123
