x	y	intensity	time_series
3	-56	236	1
4	-56	237	2
5	-56	238	3
6	-57	232	4
7	-57	232	5
8	-57	231	6
9	-56	235	7
10	-56	235	8
11	-56	235	9
12	-56	234	10
13	-56	234	11
14	-56	234	12
15	-56	233	13
16	-56	231	14
17	-56	229	15
18	-56	228	16
19	-56	231	17
20	-56	232	18
21	-56	232	19
22	-56	231	20
23	-56	230	21
24	-56	229	22
25	-56	229	23
26	-56	229	24
27	-56	230	25
28	-56	230	26
29	-56	232	27
30	-56	232	28
31	-56	233	29
32	-56	234	30
33	-56	236	31
34	-56	238	32
35	-56	239	33
36	-56	239	34
37	-56	238	35
38	-56	237	36
39	-56	236	37
40	-55	240	38
41	-55	241	39
42	-55	244	40
43	-55	245	41
44	-55	244	42
45	-55	243	43
46	-55	241	44
47	-55	239	45
48	-55	238	46
49	-55	238	47
50	-55	238	48
51	-55	244	49
52	-55	247	50
53	-55	246	51
54	-55	243	52
55	-55	242	53
56	-55	243	54
57	-55	245	55
58	-55	246	56
59	-55	246	57
60	-55	247	58
61	-54	248	59
62	-54	245	60
63	-54	243	61
64	-54	243	62
65	-54	243	63
66	-54	244	64
67	-54	245	65
68	-54	244	66
69	-54	244	67
70	-53	247	68
71	-52	246	69
72	-52	247	70
73	-51	247	71
74	-50	251	72
74	-49	240	73
74	-48	249	74
74	-47	252	75
73	-46	249	76
73	-45	249	77
72	-44	251	78
71	-44	251	79
70	-43	251	80
69	-42	246	81
68	-42	248	82
67	-41	243	83
66	-40	243	84
65	-40	243	85
64	-40	243	86
63	-39	245	87
62	-38	247	88
61	-38	248	89
60	-37	249	90
59	-37	249	91
58	-36	248	92
57	-36	250	93
56	-36	251	94
55	-36	253	95
54	-36	253	96
53	-35	252	97
52	-35	250	98
51	-35	248	99
50	-34	243	100
49	-34	246	101
48	-33	248	102
47	-33	248	103
46	-32	246	104
45	-32	245	105
44	-32	244	106
43	-32	244	107
42	-31	243	108
41	-31	244	109
40	-30	244	110
39	-30	245	111
38	-30	246	112
37	-30	246	113
36	-30	246	114
35	-30	246	115
34	-29	243	116
33	-29	243	117
32	-29	243	118
31	-29	246	119
30	-28	246	120
29	-28	248	121
28	-27	243	122
27	-27	243	123
26	-27	243	124
25	-26	241	125
24	-25	241	126
23	-25	243	127
22	-24	245	128
22	-23	244	129
22	-22	245	130
21	-21	248	131
21	-20	250	132
21	-19	246	133
22	-18	247	134
22	-17	247	135
23	-16	245	136
24	-16	241	137
25	-15	238	138
26	-15	239	139
27	-15	242	140
28	-15	244	141
29	-14	249	142
30	-14	250	143
31	-14	250	144
32	-14	250	145
33	-14	250	146
34	-15	250	147
35	-15	250	148
36	-15	251	149
37	-15	251	150
38	-15	250	151
39	-15	249	152
40	-15	248	153
41	-16	247	154
42	-16	249	155
43	-16	250	156
44	-17	249	157
45	-18	248	158
46	-18	248	159
