x	y	intensity	time_series
30	-61	134	1
31	-61	132	2
32	-62	152	3
33	-62	152	4
34	-62	158	5
35	-63	198	6
36	-63	206	7
37	-63	211	8
38	-63	214	9
39	-63	214	10
40	-63	215	11
41	-63	217	12
42	-64	225	13
43	-64	224	14
44	-64	222	15
45	-64	220	16
46	-64	217	17
47	-64	217	18
48	-64	218	19
49	-64	219	20
50	-64	220	21
51	-64	220	22
52	-63	213	23
53	-63	211	24
54	-63	209	25
55	-63	209	26
56	-62	193	27
57	-62	191	28
58	-61	159	29
59	-61	155	30
60	-61	152	31
61	-60	148	32
62	-60	148	33
63	-59	154	34
64	-58	166	35
65	-57	196	36
65	-56	217	37
65	-55	232	38
64	-54	240	39
64	-53	249	40
64	-52	249	41
63	-51	247	42
62	-50	250	43
61	-49	250	44
60	-48	246	45
59	-47	241	46
58	-47	241	47
57	-47	243	48
56	-47	244	49
55	-46	242	50
54	-46	241	51
53	-45	240	52
52	-45	240	53
51	-45	241	54
50	-45	241	55
49	-45	243	56
48	-44	240	57
47	-44	239	58
46	-44	237	59
45	-44	236	60
44	-44	235	61
43	-44	236	62
42	-43	236	63
41	-43	235	64
40	-42	229	65
39	-42	227	66
38	-42	226	67
37	-41	227	68
36	-41	227	69
35	-41	229	70
34	-41	232	71
33	-41	234	72
32	-40	234	73
31	-40	233	74
30	-40	231	75
29	-40	229	76
28	-39	228	77
27	-39	227	78
26	-39	225	79
25	-38	226	80
24	-38	224	81
23	-38	223	82
22	-38	225	83
21	-38	229	84
20	-37	238	85
19	-37	239	86
18	-37	240	87
17	-37	238	88
16	-36	241	89
15	-36	241	90
14	-35	241	91
13	-35	238	92
12	-34	236	93
11	-33	237	94
10	-32	238	95
9	-31	237	96
8	-30	233	97
8	-29	230	98
7	-28	238	99
7	-27	240	100
7	-26	241	101
7	-25	245	102
7	-24	248	103
7	-23	248	104
7	-22	246	105
8	-21	247	106
8	-20	247	107
8	-19	246	108
9	-18	245	109
10	-17	246	110
11	-16	247	111
12	-16	248	112
13	-16	249	113
14	-16	248	114
15	-16	248	115
16	-16	248	116
