x	y	intensity	time_series
8	-56	249	1
9	-56	253	2
10	-56	251	3
11	-56	251	4
12	-56	249	5
13	-56	249	6
14	-56	251	7
15	-56	250	8
16	-56	249	9
17	-56	248	10
18	-56	248	11
19	-56	249	12
20	-56	250	13
21	-56	250	14
22	-56	250	15
23	-56	249	16
24	-56	247	17
25	-56	248	18
26	-56	250	19
27	-56	250	20
28	-56	251	21
29	-56	251	22
30	-56	249	23
31	-56	247	24
32	-56	247	25
33	-56	252	26
34	-55	252	27
35	-55	252	28
36	-55	253	29
37	-55	254	30
38	-54	254	31
39	-53	252	32
39	-52	251	33
39	-51	251	34
40	-50	251	35
39	-49	251	36
38	-48	250	37
37	-47	249	38
36	-46	251	39
35	-46	251	40
34	-46	252	41
33	-46	252	42
32	-45	252	43
31	-45	253	44
30	-45	253	45
29	-44	253	46
28	-44	252	47
27	-44	250	48
26	-44	249	49
25	-43	247	50
24	-43	248	51
23	-43	247	52
22	-43	248	53
21	-42	250	54
20	-42	249	55
19	-42	248	56
18	-42	248	57
17	-42	248	58
16	-42	248	59
15	-42	249	60
14	-41	248	61
13	-41	248	62
12	-41	248	63
11	-40	247	64
10	-39	248	65
9	-38	251	66
9	-37	252	67
9	-36	254	68
9	-35	254	69
9	-34	249	70
9	-33	251	71
9	-32	253	72
10	-31	253	73
11	-30	252	74
12	-29	253	75
13	-29	254	76
14	-28	254	77
15	-27	254	78
16	-27	254	79
17	-26	253	80
18	-26	253	81
19	-26	253	82
20	-26	253	83
21	-26	253	84
22	-26	253	85
23	-26	253	86
24	-26	253	87
25	-26	253	88
26	-27	253	89
27	-28	251	90
28	-29	250	91
29	-30	253	92
