x	y	intensity	time_series
2	-47	231	1
3	-47	230	2
4	-48	230	3
5	-48	230	4
6	-48	234	5
7	-49	243	6
8	-49	247	7
9	-50	242	8
10	-51	251	9
11	-51	250	10
12	-51	250	11
13	-52	246	12
14	-52	247	13
15	-53	249	14
16	-54	252	15
17	-54	253	16
18	-54	253	17
19	-54	254	18
20	-54	254	19
21	-55	252	20
22	-55	252	21
23	-55	251	22
24	-55	252	23
25	-55	253	24
26	-55	252	25
27	-55	250	26
28	-55	250	27
29	-55	252	28
30	-55	253	29
31	-55	253	30
32	-55	251	31
33	-55	250	32
34	-55	246	33
35	-55	243	34
36	-55	245	35
37	-55	250	36
38	-55	251	37
39	-55	249	38
40	-55	244	39
41	-55	245	40
42	-55	250	41
43	-55	253	42
44	-54	254	43
45	-54	254	44
46	-54	254	45
47	-53	251	46
48	-53	252	47
49	-53	253	48
50	-52	253	49
51	-52	254	50
52	-51	251	51
52	-50	248	52
53	-49	247	53
53	-48	248	54
53	-47	250	55
53	-46	251	56
53	-45	252	57
52	-44	249	58
52	-43	247	59
52	-42	246	60
51	-41	245	61
51	-40	247	62
50	-39	250	63
49	-38	251	64
48	-38	252	65
47	-37	252	66
46	-36	251	67
45	-35	252	68
44	-35	252	69
43	-34	254	70
42	-34	254	71
41	-33	250	72
40	-33	248	73
39	-33	248	74
38	-32	250	75
37	-32	249	76
36	-31	248	77
35	-30	251	78
34	-30	252	79
33	-30	252	80
32	-29	252	81
31	-29	252	82
30	-29	253	83
29	-28	253	84
28	-28	252	85
27	-28	251	86
26	-27	249	87
25	-27	252	88
24	-26	253	89
23	-26	253	90
22	-26	252	91
21	-25	252	92
20	-25	252	93
19	-25	252	94
18	-24	253	95
17	-24	252	96
16	-23	248	97
15	-22	249	98
14	-22	250	99
13	-21	253	100
12	-20	251	101
12	-19	250	102
11	-18	253	103
11	-17	254	104
12	-16	252	105
13	-15	245	106
14	-15	245	107
15	-15	246	108
16	-15	246	109
17	-15	247	110
