x	y	intensity	time_series
5	-46	240	1
6	-46	241	2
7	-46	241	3
8	-47	241	4
9	-47	241	5
10	-47	243	6
11	-48	246	7
12	-49	250	8
13	-49	251	9
14	-49	251	10
15	-50	248	11
16	-51	246	12
17	-51	245	13
18	-52	243	14
19	-52	244	15
20	-53	246	16
21	-54	251	17
22	-54	251	18
23	-54	251	19
24	-54	250	20
25	-55	248	21
26	-55	249	22
27	-55	250	23
28	-55	247	24
29	-55	244	25
30	-55	243	26
31	-55	242	27
32	-55	244	28
33	-54	250	29
33	-53	246	30
33	-52	244	31
33	-51	244	32
33	-50	247	33
33	-49	250	34
32	-48	248	35
32	-47	248	36
32	-46	249	37
32	-45	249	38
31	-44	249	39
30	-43	249	40
30	-42	251	41
29	-41	251	42
28	-40	249	43
28	-39	248	44
27	-38	249	45
26	-37	251	46
26	-36	251	47
25	-35	251	48
24	-34	250	49
23	-33	250	50
22	-32	251	51
22	-31	251	52
21	-30	250	53
20	-29	249	54
19	-29	248	55
18	-28	248	56
18	-27	248	57
18	-26	249	58
18	-25	251	59
18	-24	251	60
17	-23	246	61
17	-22	247	62
17	-21	250	63
17	-20	253	64
18	-19	249	65
18	-18	245	66
18	-17	244	67
19	-16	246	68
20	-16	245	69
21	-16	244	70
22	-16	242	71
23	-16	242	72
24	-16	243	73
25	-16	245	74
26	-17	250	75
27	-18	252	76
28	-19	248	77
29	-20	246	78
30	-21	250	79
