x	y	intensity	time_series
2	-43	247	1
3	-43	246	2
4	-43	246	3
5	-43	246	4
6	-44	250	5
7	-44	250	6
8	-44	251	7
9	-44	250	8
10	-45	247	9
11	-45	246	10
12	-46	246	11
13	-46	247	12
14	-47	246	13
15	-47	244	14
16	-48	242	15
17	-48	242	16
18	-49	242	17
19	-49	242	18
20	-49	242	19
21	-50	246	20
22	-50	247	21
23	-50	248	22
24	-50	247	23
25	-51	246	24
26	-51	245	25
27	-51	244	26
28	-52	246	27
29	-52	247	28
30	-52	247	29
31	-52	248	30
32	-52	249	31
33	-52	251	32
34	-52	250	33
35	-53	249	34
36	-53	248	35
37	-53	247	36
38	-53	247	37
39	-53	247	38
40	-53	244	39
41	-53	242	40
42	-53	244	41
43	-54	247	42
44	-54	249	43
45	-54	249	44
46	-53	247	45
47	-53	247	46
48	-53	248	47
49	-52	249	48
49	-51	248	49
50	-50	247	50
50	-49	247	51
50	-48	249	52
49	-47	249	53
49	-46	249	54
48	-45	247	55
47	-44	249	56
46	-43	250	57
45	-42	250	58
44	-41	250	59
43	-40	249	60
42	-39	248	61
41	-39	249	62
40	-38	247	63
39	-38	247	64
38	-37	249	65
37	-36	250	66
36	-35	248	67
35	-34	247	68
34	-33	249	69
33	-32	249	70
32	-32	247	71
31	-31	243	72
30	-30	241	73
29	-29	240	74
28	-28	243	75
27	-28	244	76
26	-27	244	77
25	-26	237	78
24	-25	235	79
23	-24	237	80
22	-23	239	81
21	-22	242	82
20	-21	245	83
19	-20	246	84
19	-19	250	85
18	-18	251	86
18	-17	247	87
18	-16	246	88
17	-15	245	89
17	-14	243	90
17	-13	243	91
17	-12	244	92
18	-11	245	93
18	-10	244	94
19	-9	243	95
19	-8	245	96
20	-7	247	97
21	-6	246	98
22	-5	245	99
23	-5	245	100
24	-4	245	101
25	-4	247	102
26	-4	249	103
27	-3	248	104
28	-3	248	105
29	-3	247	106
30	-3	250	107
31	-3	250	108
32	-3	249	109
