x	y	intensity	time_series
6	-47	249	1
6	-48	251	2
7	-49	248	3
8	-50	247	4
9	-50	248	5
10	-51	248	6
11	-51	248	7
12	-52	249	8
13	-53	246	9
14	-54	245	10
15	-55	247	11
16	-55	246	12
17	-55	245	13
18	-55	245	14
19	-56	246	15
20	-56	246	16
21	-56	247	17
22	-57	244	18
23	-57	245	19
24	-57	244	20
25	-58	232	21
26	-58	236	22
27	-58	236	23
28	-59	203	24
29	-59	197	25
30	-59	190	26
31	-59	184	27
32	-59	179	28
33	-60	169	29
34	-60	162	30
35	-60	162	31
36	-60	167	32
37	-60	165	33
38	-60	157	34
39	-60	155	35
40	-60	156	36
41	-60	157	37
42	-60	159	38
43	-59	164	39
44	-59	170	40
45	-58	193	41
45	-57	222	42
44	-56	232	43
44	-55	242	44
44	-54	244	45
44	-53	245	46
44	-52	245	47
44	-51	246	48
43	-50	247	49
42	-49	244	50
41	-49	244	51
40	-48	240	52
40	-47	244	53
39	-46	250	54
38	-45	250	55
38	-44	250	56
37	-43	249	57
36	-42	249	58
35	-42	250	59
34	-41	251	60
34	-40	252	61
33	-39	249	62
32	-38	249	63
31	-38	249	64
30	-37	250	65
30	-36	252	66
29	-35	252	67
28	-34	250	68
27	-33	250	69
26	-32	252	70
25	-31	253	71
24	-30	252	72
23	-29	251	73
22	-28	249	74
21	-27	248	75
20	-26	249	76
19	-25	252	77
18	-24	253	78
17	-23	253	79
16	-22	251	80
16	-21	248	81
