x	y	intensity	time_series
5	-55	248	1
6	-55	247	2
7	-55	247	3
8	-55	247	4
9	-55	247	5
10	-55	247	6
11	-56	246	7
12	-56	247	8
13	-56	247	9
14	-57	241	10
15	-57	241	11
16	-57	242	12
17	-57	243	13
18	-58	236	14
19	-58	232	15
20	-58	230	16
21	-58	228	17
22	-58	225	18
23	-58	221	19
24	-58	218	20
25	-58	212	21
26	-58	205	22
27	-59	185	23
28	-59	183	24
29	-59	183	25
30	-59	184	26
31	-59	187	27
32	-59	187	28
33	-59	185	29
34	-59	184	30
35	-59	185	31
36	-58	210	32
37	-58	219	33
38	-57	238	34
39	-56	248	35
39	-55	248	36
39	-54	245	37
40	-53	248	38
40	-52	249	39
40	-51	249	40
40	-50	249	41
40	-49	248	42
40	-48	250	43
40	-47	249	44
39	-46	250	45
39	-45	251	46
38	-44	252	47
38	-43	253	48
38	-42	252	49
37	-41	251	50
36	-40	249	51
35	-39	250	52
35	-38	250	53
34	-37	251	54
33	-36	252	55
32	-35	249	56
31	-34	246	57
30	-33	249	58
29	-32	252	59
28	-31	251	60
27	-30	247	61
26	-29	248	62
25	-28	249	63
24	-28	251	64
23	-27	251	65
23	-26	250	66
22	-25	250	67
22	-24	251	68
22	-23	252	69
22	-22	253	70
22	-21	252	71
22	-20	251	72
22	-19	251	73
22	-18	252	74
23	-17	252	75
24	-16	252	76
25	-16	251	77
26	-16	251	78
27	-16	251	79
28	-17	252	80
29	-17	252	81
30	-17	252	82
31	-18	251	83
