x	y	intensity	time_series
5	-48	240	1
6	-48	240	2
7	-48	238	3
8	-48	238	4
9	-48	239	5
10	-49	240	6
11	-49	239	7
12	-50	236	8
13	-50	237	9
14	-50	239	10
15	-50	241	11
16	-50	242	12
17	-50	240	13
18	-50	237	14
19	-50	235	15
20	-50	238	16
21	-50	237	17
22	-51	233	18
23	-51	233	19
24	-51	232	20
25	-51	233	21
26	-52	234	22
27	-52	237	23
28	-52	238	24
29	-53	232	25
30	-53	232	26
31	-54	227	27
32	-54	230	28
33	-54	233	29
34	-54	233	30
35	-54	233	31
36	-55	241	32
37	-55	241	33
38	-55	239	34
39	-55	236	35
40	-55	232	36
41	-56	231	37
42	-56	233	38
43	-56	235	39
44	-56	236	40
45	-55	232	41
46	-54	239	42
46	-53	241	43
46	-52	239	44
45	-51	239	45
45	-50	238	46
44	-49	238	47
43	-48	239	48
42	-47	242	49
41	-46	242	50
40	-46	239	51
39	-46	236	52
38	-45	237	53
37	-44	239	54
36	-43	241	55
35	-43	240	56
34	-42	240	57
33	-41	239	58
32	-41	241	59
31	-41	242	60
30	-40	238	61
29	-40	238	62
28	-39	240	63
27	-38	239	64
26	-38	236	65
25	-38	232	66
24	-37	235	67
23	-37	237	68
22	-36	240	69
21	-36	241	70
20	-35	245	71
19	-35	237	72
18	-34	236	73
17	-34	236	74
16	-33	233	75
15	-32	238	76
14	-32	238	77
13	-31	238	78
12	-31	239	79
11	-30	241	80
10	-29	243	81
9	-28	237	82
8	-27	238	83
7	-26	243	84
6	-25	242	85
6	-24	241	86
5	-23	236	87
5	-22	239	88
5	-21	241	89
5	-20	240	90
5	-19	236	91
5	-18	238	92
5	-17	243	93
5	-16	245	94
6	-15	242	95
6	-14	234	96
7	-13	237	97
8	-12	240	98
9	-12	241	99
10	-11	237	100
11	-10	238	101
12	-10	239	102
13	-9	240	103
14	-9	241	104
15	-8	242	105
16	-8	242	106
17	-8	241	107
18	-8	239	108
19	-8	238	109
20	-8	235	110
21	-9	236	111
22	-9	237	112
23	-9	238	113
24	-9	238	114
25	-8	240	115
26	-9	238	116
27	-9	238	117
28	-9	239	118
29	-9	240	119
30	-10	243	120
31	-11	241	121
32	-11	240	122
33	-12	239	123
34	-13	240	124
35	-14	238	125
