x	y	intensity	time_series
4	-47	233	1
5	-47	233	2
6	-47	234	3
7	-47	234	4
8	-47	232	5
9	-47	231	6
10	-48	238	7
11	-48	236	8
12	-48	235	9
13	-48	234	10
14	-48	235	11
15	-48	237	12
16	-48	238	13
17	-48	236	14
18	-49	229	15
19	-49	227	16
20	-49	230	17
21	-49	233	18
22	-49	232	19
23	-49	231	20
24	-49	233	21
25	-49	235	22
26	-49	237	23
27	-49	238	24
28	-49	238	25
29	-49	237	26
30	-49	236	27
31	-50	233	28
32	-50	235	29
33	-50	234	30
34	-50	232	31
35	-50	229	32
36	-50	229	33
37	-50	230	34
38	-50	231	35
39	-50	231	36
40	-49	230	37
41	-49	232	38
42	-49	232	39
43	-48	231	40
44	-48	231	41
45	-47	231	42
45	-46	229	43
45	-45	239	44
45	-44	239	45
44	-43	236	46
44	-42	234	47
44	-41	238	48
44	-40	239	49
43	-39	242	50
42	-39	242	51
41	-38	238	52
40	-37	231	53
39	-36	239	54
38	-36	238	55
37	-35	239	56
36	-34	239	57
35	-34	239	58
34	-33	236	59
33	-32	239	60
32	-32	239	61
31	-31	237	62
30	-31	237	63
29	-30	237	64
28	-30	236	65
27	-29	236	66
26	-28	239	67
25	-28	240	68
24	-27	238	69
23	-27	236	70
22	-27	235	71
21	-26	233	72
20	-26	233	73
19	-26	236	74
18	-26	233	75
17	-25	230	76
16	-25	231	77
15	-24	235	78
14	-24	236	79
13	-24	236	80
12	-23	236	81
11	-23	237	82
10	-22	238	83
9	-21	240	84
8	-20	239	85
8	-19	234	86
8	-18	228	87
8	-17	232	88
7	-16	240	89
8	-15	243	90
8	-14	246	91
8	-13	244	92
9	-12	240	93
10	-11	239	94
11	-10	236	95
12	-10	236	96
13	-10	237	97
14	-10	238	98
15	-10	239	99
16	-9	241	100
17	-9	240	101
18	-10	239	102
19	-10	239	103
20	-11	235	104
21	-11	236	105
22	-12	235	106
23	-13	237	107
24	-14	241	108
25	-15	240	109
