x	y	intensity	time_series
6	-53	244	1
7	-54	236	2
8	-55	231	3
9	-55	231	4
10	-55	231	5
11	-55	232	6
12	-56	229	7
13	-56	231	8
14	-57	221	9
15	-57	215	10
16	-58	178	11
17	-58	167	12
18	-59	121	13
19	-59	116	14
20	-60	114	15
21	-60	116	16
22	-60	117	17
23	-61	118	18
24	-61	124	19
25	-61	129	20
26	-62	174	21
27	-62	180	22
28	-62	192	23
29	-62	204	24
30	-63	223	25
31	-63	223	26
32	-63	221	27
33	-64	220	28
34	-65	225	29
35	-65	227	30
36	-65	225	31
37	-65	221	32
38	-66	205	33
39	-66	190	34
40	-67	151	35
41	-67	147	36
42	-67	146	37
43	-68	146	38
44	-68	150	39
45	-68	154	40
46	-68	161	41
47	-69	188	42
48	-69	201	43
49	-69	214	44
50	-69	217	45
51	-70	222	46
52	-70	225	47
53	-70	227	48
54	-70	229	49
55	-70	229	50
56	-70	230	51
57	-70	230	52
58	-70	231	53
59	-71	233	54
60	-71	233	55
61	-70	232	56
62	-69	235	57
62	-68	235	58
62	-67	235	59
62	-66	231	60
61	-65	227	61
61	-64	228	62
60	-63	222	63
59	-62	198	64
58	-62	176	65
57	-61	153	66
56	-61	151	67
55	-60	152	68
54	-59	163	69
53	-58	186	70
52	-58	197	71
51	-58	202	72
50	-57	207	73
49	-57	203	74
48	-56	207	75
47	-56	206	76
46	-55	186	77
45	-54	152	78
44	-53	124	79
43	-52	129	80
42	-51	138	81
41	-51	141	82
40	-50	166	83
39	-50	177	84
38	-49	223	85
37	-48	232	86
36	-48	234	87
35	-47	239	88
34	-46	239	89
33	-46	239	90
32	-46	239	91
31	-45	239	92
30	-45	241	93
29	-44	242	94
28	-44	241	95
27	-43	239	96
26	-43	239	97
25	-42	241	98
24	-41	242	99
23	-41	243	100
22	-40	245	101
21	-40	245	102
20	-40	243	103
19	-39	243	104
18	-39	243	105
17	-38	244	106
16	-38	240	107
15	-37	237	108
14	-37	236	109
13	-36	230	110
12	-35	229	111
11	-34	229	112
10	-34	229	113
9	-33	229	114
8	-32	229	115
7	-31	229	116
7	-30	229	117
7	-29	229	118
6	-28	229	119
6	-27	229	120
6	-26	229	121
6	-25	231	122
7	-24	237	123
7	-23	241	124
7	-22	246	125
8	-21	247	126
9	-20	242	127
10	-19	238	128
11	-18	238	129
12	-18	242	130
13	-17	244	131
14	-17	240	132
15	-16	235	133
16	-16	235	134
17	-15	239	135
18	-15	242	136
19	-15	244	137
20	-14	246	138
21	-14	246	139
22	-13	244	140
23	-13	243	141
24	-13	242	142
25	-13	242	143
26	-13	244	144
27	-13	245	145
28	-13	243	146
29	-13	240	147
30	-14	242	148
31	-15	240	149
32	-15	239	150
33	-16	239	151
33	-17	241	152
33	-18	242	153
34	-19	241	154
34	-20	239	155
34	-21	241	156
34	-22	242	157
35	-23	237	158
