x	y	intensity	time_series
5	-41	247	1
6	-42	246	2
7	-42	244	3
8	-43	242	4
9	-43	243	5
10	-44	239	6
11	-44	241	7
12	-45	240	8
13	-46	239	9
14	-46	239	10
15	-47	235	11
16	-47	236	12
17	-47	237	13
18	-48	238	14
19	-48	240	15
20	-48	243	16
21	-49	240	17
22	-50	238	18
23	-51	238	19
24	-51	241	20
25	-51	244	21
26	-52	242	22
27	-52	241	23
28	-53	238	24
29	-53	239	25
30	-54	238	26
31	-54	241	27
32	-54	243	28
33	-55	241	29
34	-55	240	30
35	-55	240	31
36	-55	240	32
37	-56	231	33
38	-56	229	34
39	-56	229	35
40	-56	229	36
41	-56	229	37
42	-56	229	38
43	-55	229	39
44	-55	229	40
45	-54	229	41
45	-53	229	42
45	-52	229	43
45	-51	240	44
45	-50	240	45
45	-49	239	46
45	-48	238	47
44	-47	240	48
43	-46	242	49
42	-46	240	50
41	-45	239	51
40	-44	241	52
39	-43	244	53
38	-43	241	54
37	-42	239	55
36	-42	241	56
35	-41	243	57
34	-41	243	58
33	-40	244	59
32	-40	244	60
31	-39	244	61
30	-38	243	62
29	-37	243	63
28	-37	243	64
27	-36	243	65
26	-36	244	66
25	-35	244	67
24	-34	243	68
23	-34	243	69
22	-33	241	70
21	-33	240	71
20	-32	241	72
19	-32	240	73
18	-31	242	74
17	-30	241	75
16	-29	239	76
15	-29	238	77
14	-28	238	78
13	-27	240	79
12	-27	240	80
11	-26	242	81
10	-26	240	82
9	-25	241	83
9	-24	243	84
8	-23	247	85
7	-22	247	86
6	-21	237	87
6	-20	240	88
6	-19	243	89
6	-18	243	90
6	-17	242	91
6	-16	246	92
6	-15	248	93
7	-14	242	94
8	-13	238	95
9	-13	239	96
10	-12	242	97
11	-12	239	98
12	-12	238	99
13	-11	240	100
14	-11	241	101
15	-11	242	102
16	-11	244	103
17	-11	243	104
18	-11	242	105
19	-11	241	106
20	-11	241	107
21	-11	241	108
22	-12	242	109
23	-12	244	110
24	-13	249	111
25	-13	249	112
26	-13	246	113
27	-14	243	114
28	-14	245	115
29	-15	247	116
