x	y	intensity	time_series
4	-51	241	1
5	-51	241	2
6	-51	241	3
7	-51	240	4
8	-51	241	5
9	-50	240	6
10	-50	241	7
11	-50	241	8
12	-50	241	9
13	-50	241	10
14	-50	242	11
15	-50	244	12
16	-50	245	13
17	-50	246	14
18	-50	246	15
19	-50	244	16
20	-50	243	17
21	-50	243	18
22	-50	244	19
23	-50	246	20
24	-50	243	21
25	-50	242	22
26	-51	238	23
27	-51	239	24
28	-51	240	25
29	-51	240	26
30	-51	241	27
31	-51	241	28
32	-51	241	29
33	-51	242	30
34	-50	243	31
34	-49	245	32
34	-48	246	33
34	-47	242	34
33	-46	238	35
33	-45	239	36
33	-44	241	37
32	-43	241	38
31	-43	240	39
30	-42	242	40
30	-41	245	41
29	-40	246	42
28	-39	245	43
27	-38	242	44
26	-37	241	45
25	-36	243	46
24	-35	245	47
23	-34	245	48
22	-33	238	49
21	-32	241	50
20	-31	244	51
19	-31	243	52
18	-30	245	53
17	-29	246	54
16	-28	246	55
16	-27	246	56
15	-26	247	57
14	-25	248	58
14	-24	248	59
13	-23	247	60
13	-22	245	61
12	-21	243	62
12	-20	244	63
12	-19	246	64
12	-18	246	65
12	-17	245	66
12	-16	242	67
12	-15	241	68
13	-14	242	69
14	-13	244	70
15	-12	243	71
16	-11	247	72
17	-11	247	73
18	-10	247	74
19	-9	244	75
20	-9	242	76
21	-9	240	77
22	-9	237	78
23	-8	235	79
24	-8	240	80
25	-9	241	81
26	-9	241	82
27	-9	241	83
28	-9	241	84
29	-10	241	85
30	-10	241	86
31	-11	243	87
32	-12	245	88
32	-13	241	89
32	-14	242	90
33	-15	242	91
