x	y	intensity	time_series
6	-47	243	1
6	-48	242	2
6	-49	240	3
6	-50	239	4
6	-51	239	5
7	-52	239	6
7	-53	238	7
8	-54	238	8
8	-55	236	9
9	-56	235	10
10	-56	234	11
11	-57	211	12
12	-58	171	13
13	-59	152	14
14	-60	141	15
15	-61	134	16
16	-62	153	17
17	-63	200	18
18	-64	220	19
19	-65	223	20
20	-66	229	21
21	-66	227	22
22	-67	232	23
23	-68	237	24
24	-68	234	25
25	-68	232	26
26	-69	231	27
27	-69	228	28
28	-70	205	29
29	-70	191	30
30	-71	167	31
31	-71	163	32
32	-71	161	33
33	-71	159	34
34	-71	161	35
35	-71	168	36
36	-71	180	37
37	-71	200	38
38	-71	220	39
39	-70	222	40
40	-69	220	41
40	-68	201	42
40	-67	186	43
41	-66	197	44
41	-65	184	45
41	-64	171	46
41	-63	163	47
41	-62	161	48
41	-61	165	49
40	-60	171	50
40	-59	177	51
39	-58	183	52
38	-57	196	53
37	-56	219	54
37	-55	218	55
36	-54	227	56
36	-53	208	57
35	-52	191	58
34	-51	174	59
33	-51	171	60
32	-50	166	61
32	-49	173	62
31	-48	175	63
30	-47	188	64
29	-46	215	65
28	-46	222	66
27	-45	241	67
26	-44	244	68
25	-43	243	69
24	-42	244	70
23	-41	246	71
22	-40	243	72
21	-39	243	73
20	-38	243	74
19	-37	245	75
18	-37	246	76
17	-36	247	77
16	-35	244	78
15	-34	244	79
14	-33	246	80
13	-32	248	81
12	-31	246	82
11	-30	243	83
10	-29	241	84
10	-28	241	85
10	-27	241	86
9	-26	244	87
9	-25	245	88
9	-24	246	89
9	-23	244	90
9	-22	245	91
10	-21	245	92
11	-21	246	93
12	-21	248	94
13	-21	248	95
14	-21	245	96
15	-22	245	97
16	-22	245	98
17	-22	245	99
18	-22	245	100
19	-23	245	101
20	-23	246	102
21	-23	247	103
22	-24	249	104
23	-24	250	105
24	-25	247	106
25	-26	244	107
26	-26	244	108
27	-27	243	109
27	-28	245	110
28	-29	245	111
