x	y	intensity	time_series
3	-54	243	1
4	-54	241	2
5	-54	241	3
6	-54	242	4
7	-54	242	5
8	-55	243	6
9	-55	245	7
10	-55	245	8
11	-56	238	9
12	-56	235	10
13	-57	225	11
14	-57	225	12
15	-57	224	13
16	-58	216	14
17	-58	216	15
18	-58	217	16
19	-59	219	17
20	-59	215	18
21	-59	211	19
22	-59	213	20
23	-59	216	21
24	-60	204	22
25	-60	200	23
26	-60	202	24
27	-59	216	25
28	-59	213	26
29	-58	221	27
29	-57	225	28
29	-56	229	29
30	-55	237	30
29	-54	242	31
29	-53	245	32
29	-52	246	33
29	-51	246	34
28	-50	247	35
28	-49	253	36
28	-48	250	37
28	-47	248	38
27	-46	251	39
27	-45	252	40
26	-44	251	41
25	-43	250	42
24	-42	249	43
23	-41	249	44
23	-40	250	45
22	-39	251	46
21	-38	252	47
21	-37	250	48
20	-36	250	49
19	-35	252	50
18	-34	252	51
17	-33	250	52
16	-33	250	53
15	-32	250	54
15	-31	250	55
14	-30	250	56
13	-29	250	57
12	-28	254	58
11	-27	251	59
11	-26	248	60
10	-25	248	61
9	-24	248	62
9	-23	247	63
9	-22	248	64
8	-21	248	65
7	-20	246	66
7	-19	242	67
6	-18	245	68
6	-17	245	69
6	-16	244	70
6	-15	244	71
6	-14	248	72
6	-13	252	73
6	-12	254	74
6	-11	252	75
7	-10	250	76
7	-9	250	77
8	-8	248	78
9	-7	245	79
10	-6	245	80
11	-6	249	81
12	-6	251	82
13	-6	250	83
14	-6	248	84
15	-7	250	85
16	-7	252	86
