x	y	intensity	time_series
3	-54	251	1
4	-54	251	2
5	-54	251	3
6	-54	251	4
7	-54	251	5
8	-54	251	6
9	-54	251	7
10	-54	251	8
11	-54	251	9
12	-54	252	10
13	-55	250	11
14	-55	249	12
15	-55	250	13
16	-55	250	14
17	-55	250	15
18	-56	246	16
19	-56	247	17
20	-56	248	18
21	-56	246	19
22	-56	242	20
23	-56	239	21
24	-57	243	22
25	-57	239	23
26	-57	236	24
27	-57	236	25
28	-57	237	26
29	-57	237	27
30	-57	236	28
31	-57	236	29
32	-57	239	30
33	-57	243	31
34	-56	246	32
35	-55	243	33
35	-54	244	34
35	-53	249	35
35	-52	247	36
34	-51	241	37
34	-50	237	38
33	-49	235	39
33	-48	240	40
32	-47	248	41
31	-46	251	42
30	-46	250	43
29	-45	247	44
28	-45	248	45
27	-44	249	46
26	-43	248	47
25	-43	249	48
24	-42	247	49
23	-41	242	50
22	-41	244	51
21	-40	246	52
20	-39	247	53
19	-38	247	54
18	-37	247	55
17	-37	247	56
16	-36	245	57
15	-35	245	58
14	-34	249	59
13	-33	251	60
12	-32	251	61
11	-31	250	62
10	-30	245	63
9	-29	244	64
9	-28	245	65
8	-27	248	66
8	-26	250	67
8	-25	250	68
8	-24	249	69
7	-23	247	70
8	-22	249	71
8	-21	250	72
8	-20	246	73
8	-19	241	74
9	-18	242	75
10	-17	251	76
11	-17	250	77
12	-17	248	78
13	-17	247	79
14	-17	247	80
15	-17	248	81
16	-17	248	82
17	-17	248	83
18	-17	248	84
19	-18	244	85
20	-18	245	86
21	-18	246	87
22	-18	247	88
23	-18	248	89
