x	y	intensity	time_series
27	-60	153	1
26	-60	155	2
25	-60	154	3
24	-60	151	4
23	-60	151	5
22	-60	153	6
21	-60	155	7
20	-60	156	8
19	-60	151	9
18	-60	150	10
17	-60	152	11
16	-59	166	12
15	-59	172	13
14	-59	175	14
13	-58	206	15
12	-57	229	16
11	-56	248	17
11	-55	243	18
11	-54	244	19
11	-53	247	20
12	-52	251	21
13	-51	252	22
14	-51	252	23
15	-51	252	24
16	-51	252	25
17	-51	253	26
18	-51	253	27
19	-51	254	28
20	-51	254	29
21	-51	253	30
22	-52	254	31
23	-52	253	32
24	-53	250	33
25	-53	249	34
26	-53	250	35
27	-54	246	36
28	-54	248	37
29	-55	248	38
29	-56	239	39
30	-57	218	40
31	-58	179	41
32	-58	186	42
33	-58	190	43
34	-58	187	44
35	-58	181	45
36	-58	181	46
37	-58	184	47
38	-58	185	48
39	-58	182	49
40	-58	181	50
41	-59	147	51
42	-59	142	52
43	-59	146	53
44	-59	149	54
45	-59	150	55
46	-59	149	56
47	-59	145	57
48	-59	143	58
49	-59	146	59
50	-59	151	60
51	-59	155	61
52	-58	193	62
53	-58	187	63
54	-58	184	64
55	-57	219	65
55	-56	240	66
55	-55	249	67
55	-54	247	68
55	-53	247	69
54	-52	247	70
54	-51	248	71
53	-50	252	72
52	-49	253	73
51	-48	250	74
50	-48	250	75
49	-47	251	76
48	-47	252	77
47	-46	253	78
46	-45	252	79
45	-45	252	80
44	-44	252	81
43	-44	251	82
42	-44	251	83
41	-43	252	84
40	-43	253	85
39	-42	253	86
38	-42	253	87
37	-41	253	88
36	-40	253	89
35	-40	253	90
34	-40	253	91
33	-40	253	92
32	-39	252	93
31	-39	251	94
30	-38	249	95
29	-38	249	96
28	-38	249	97
27	-38	250	98
26	-37	251	99
25	-37	251	100
24	-36	248	101
23	-36	249	102
22	-36	251	103
21	-36	251	104
20	-35	251	105
19	-35	252	106
18	-34	254	107
17	-34	253	108
16	-34	253	109
15	-33	253	110
14	-33	252	111
13	-33	252	112
12	-32	253	113
11	-32	253	114
10	-32	253	115
9	-31	251	116
8	-30	250	117
7	-29	248	118
6	-28	249	119
6	-27	248	120
6	-26	249	121
6	-25	250	122
6	-24	251	123
6	-23	252	124
7	-22	253	125
8	-21	252	126
9	-21	252	127
10	-21	252	128
11	-20	252	129
12	-19	251	130
13	-19	249	131
14	-18	249	132
15	-17	249	133
16	-17	252	134
17	-17	253	135
18	-16	252	136
19	-16	252	137
20	-16	252	138
21	-16	253	139
22	-16	253	140
23	-15	253	141
24	-15	253	142
25	-15	253	143
26	-15	253	144
27	-15	253	145
28	-15	252	146
29	-15	252	147
30	-16	249	148
31	-16	253	149
32	-16	253	150
33	-17	253	151
34	-17	253	152
35	-18	251	153
36	-18	251	154
37	-19	252	155
37	-20	253	156
38	-21	253	157
39	-22	253	158
39	-23	253	159
40	-24	252	160
