x	y	intensity	time_series
6	-51	246	1
7	-51	244	2
8	-52	245	3
9	-52	245	4
10	-53	247	5
11	-53	247	6
12	-52	246	7
13	-52	246	8
14	-52	245	9
15	-52	243	10
16	-52	242	11
17	-52	242	12
18	-52	242	13
19	-52	242	14
20	-52	242	15
21	-52	243	16
22	-52	244	17
23	-52	245	18
24	-52	245	19
25	-52	244	20
26	-52	244	21
27	-52	242	22
28	-52	242	23
29	-52	242	24
30	-52	241	25
31	-52	239	26
32	-52	237	27
33	-52	235	28
34	-51	234	29
35	-50	233	30
36	-50	233	31
37	-49	238	32
37	-48	238	33
37	-47	238	34
37	-46	237	35
38	-45	233	36
37	-44	234	37
37	-43	234	38
36	-42	239	39
35	-41	239	40
34	-40	239	41
33	-40	241	42
32	-39	243	43
31	-39	244	44
30	-39	241	45
29	-38	238	46
28	-37	241	47
27	-36	245	48
26	-35	240	49
25	-34	240	50
24	-34	237	51
23	-33	235	52
23	-32	238	53
22	-31	241	54
21	-30	244	55
21	-29	246	56
20	-28	242	57
20	-27	243	58
20	-26	247	59
20	-25	249	60
20	-24	249	61
20	-23	245	62
20	-22	244	63
20	-21	247	64
20	-20	250	65
20	-19	250	66
20	-18	250	67
21	-17	250	68
21	-16	250	69
22	-15	250	70
23	-14	249	71
23	-13	249	72
24	-12	248	73
25	-12	249	74
26	-11	250	75
27	-11	251	76
28	-11	251	77
29	-11	251	78
30	-11	251	79
