x	y	intensity	time_series
14	-47	252	1
13	-47	251	2
12	-47	249	3
11	-48	249	4
10	-49	252	5
10	-50	249	6
10	-51	245	7
10	-52	244	8
11	-53	244	9
11	-54	242	10
12	-55	244	11
13	-56	246	12
14	-56	244	13
15	-57	235	14
16	-57	235	15
17	-58	225	16
18	-58	228	17
19	-59	214	18
20	-59	212	19
21	-60	201	20
22	-60	201	21
23	-61	184	22
24	-61	183	23
25	-61	180	24
26	-61	175	25
27	-61	174	26
28	-61	175	27
29	-62	165	28
30	-62	161	29
31	-62	154	30
32	-62	151	31
33	-62	152	32
34	-62	156	33
35	-62	161	34
36	-62	162	35
37	-62	163	36
38	-62	163	37
39	-62	164	38
40	-62	164	39
41	-62	165	40
42	-62	165	41
43	-62	165	42
44	-62	165	43
45	-62	161	44
46	-61	165	45
47	-61	171	46
48	-61	179	47
49	-61	187	48
50	-60	204	49
51	-59	215	50
52	-58	220	51
52	-57	232	52
52	-56	241	53
52	-55	245	54
52	-54	244	55
52	-53	246	56
52	-52	249	57
52	-51	251	58
52	-50	251	59
52	-49	250	60
52	-48	250	61
52	-47	250	62
52	-46	251	63
51	-45	251	64
51	-44	252	65
50	-43	251	66
50	-42	251	67
49	-41	250	68
48	-40	249	69
47	-39	250	70
47	-38	250	71
46	-37	252	72
45	-36	249	73
44	-35	244	74
43	-34	247	75
42	-33	251	76
41	-32	250	77
40	-31	252	78
39	-31	251	79
38	-30	250	80
37	-29	252	81
36	-28	252	82
35	-28	253	83
34	-27	247	84
33	-26	248	85
32	-26	249	86
31	-25	250	87
30	-24	250	88
29	-24	251	89
28	-23	251	90
27	-23	252	91
26	-23	253	92
25	-22	252	93
24	-21	251	94
23	-21	251	95
22	-20	252	96
21	-20	252	97
20	-19	251	98
19	-18	251	99
18	-17	252	100
17	-17	252	101
16	-16	252	102
15	-15	250	103
14	-14	249	104
13	-13	249	105
12	-12	249	106
12	-11	248	107
12	-10	249	108
12	-9	251	109
12	-8	252	110
12	-7	251	111
13	-6	251	112
14	-5	251	113
15	-5	252	114
16	-5	252	115
17	-5	252	116
18	-5	252	117
19	-5	252	118
20	-6	251	119
21	-6	251	120
22	-7	250	121
23	-7	250	122
24	-8	251	123
25	-8	251	124
26	-9	251	125
27	-10	250	126
28	-11	250	127
29	-12	251	128
30	-13	252	129
31	-14	250	130
32	-15	248	131
33	-16	248	132
34	-17	249	133
