x	y	intensity	time_series
19	-57	212	1
20	-57	208	2
21	-57	203	3
22	-57	199	4
23	-57	203	5
24	-57	207	6
25	-57	210	7
26	-57	210	8
27	-57	210	9
28	-57	209	10
29	-57	208	11
30	-56	215	12
31	-56	217	13
32	-56	221	14
33	-56	224	15
34	-55	231	16
35	-55	231	17
36	-55	225	18
37	-54	227	19
37	-53	220	20
38	-52	219	21
38	-51	222	22
38	-50	227	23
38	-49	234	24
37	-48	241	25
37	-47	242	26
37	-46	244	27
37	-45	244	28
36	-44	246	29
35	-43	248	30
34	-42	245	31
33	-41	243	32
32	-40	245	33
31	-39	247	34
30	-38	246	35
29	-37	247	36
28	-37	247	37
27	-36	248	38
26	-35	246	39
25	-34	245	40
24	-33	245	41
23	-32	248	42
22	-32	249	43
21	-31	249	44
20	-30	248	45
19	-29	248	46
18	-28	248	47
17	-27	247	48
16	-26	246	49
15	-26	243	50
14	-25	248	51
13	-24	246	52
12	-23	247	53
11	-22	247	54
11	-21	246	55
10	-20	246	56
10	-19	247	57
10	-18	248	58
9	-17	247	59
9	-16	247	60
9	-15	248	61
9	-14	246	62
10	-13	242	63
11	-12	245	64
12	-11	249	65
13	-11	249	66
14	-11	250	67
15	-11	247	68
16	-10	244	69
17	-10	246	70
18	-9	249	71
19	-10	248	72
20	-10	247	73
21	-10	245	74
22	-10	244	75
23	-11	247	76
24	-12	249	77
25	-13	249	78
26	-14	246	79
26	-15	244	80
26	-16	247	81
