x	y	intensity	time_series
4	-49	247	1
5	-49	247	2
6	-49	247	3
7	-50	246	4
8	-50	245	5
9	-50	245	6
10	-51	244	7
11	-51	242	8
12	-52	246	9
13	-52	245	10
14	-52	246	11
15	-52	245	12
16	-53	245	13
17	-53	245	14
18	-54	247	15
19	-54	246	16
20	-55	240	17
21	-55	239	18
22	-56	240	19
23	-56	244	20
24	-56	241	21
25	-56	240	22
26	-56	245	23
27	-56	248	24
28	-56	246	25
29	-55	243	26
30	-55	241	27
31	-54	241	28
32	-53	240	29
33	-53	240	30
34	-52	243	31
34	-51	244	32
35	-50	249	33
35	-49	249	34
35	-48	249	35
35	-47	249	36
35	-46	249	37
35	-45	246	38
34	-44	248	39
34	-43	248	40
33	-42	244	41
32	-41	244	42
32	-40	246	43
31	-39	244	44
30	-38	240	45
29	-37	239	46
29	-36	241	47
28	-35	243	48
27	-34	243	49
26	-33	247	50
25	-32	249	51
25	-31	247	52
24	-30	248	53
23	-30	251	54
22	-29	249	55
21	-28	247	56
20	-28	248	57
19	-27	247	58
18	-26	244	59
17	-25	243	60
16	-24	246	61
15	-23	246	62
14	-23	245	63
13	-22	244	64
12	-21	245	65
11	-20	246	66
11	-19	247	67
11	-18	247	68
10	-17	247	69
10	-16	247	70
11	-15	245	71
12	-14	245	72
13	-14	247	73
14	-14	248	74
15	-14	248	75
16	-14	247	76
17	-14	246	77
18	-14	246	78
19	-15	249	79
