x	y	intensity	time_series
23	-54	250	1
24	-54	249	2
25	-54	244	3
26	-54	246	4
27	-53	250	5
28	-53	248	6
29	-53	246	7
30	-53	246	8
31	-53	248	9
32	-53	249	10
33	-53	248	11
34	-53	245	12
35	-53	247	13
36	-53	246	14
37	-53	246	15
38	-53	247	16
39	-53	247	17
40	-54	248	18
41	-54	249	19
42	-54	248	20
43	-54	248	21
44	-54	247	22
45	-54	247	23
46	-54	247	24
47	-54	247	25
48	-54	247	26
49	-54	248	27
50	-53	250	28
51	-52	251	29
51	-51	251	30
51	-50	251	31
51	-49	249	32
50	-48	250	33
50	-47	250	34
49	-46	249	35
48	-45	249	36
47	-44	251	37
46	-43	251	38
45	-43	251	39
44	-42	252	40
43	-42	251	41
42	-42	251	42
41	-41	249	43
40	-41	249	44
39	-41	248	45
38	-41	247	46
37	-40	250	47
36	-40	250	48
35	-40	251	49
34	-40	250	50
33	-39	250	51
32	-39	250	52
31	-38	249	53
30	-38	249	54
29	-38	250	55
28	-37	249	56
27	-37	249	57
26	-37	249	58
25	-37	249	59
24	-36	249	60
23	-36	249	61
22	-36	249	62
21	-35	251	63
20	-35	252	64
19	-34	251	65
18	-34	251	66
17	-33	250	67
16	-33	250	68
15	-33	250	69
14	-32	252	70
13	-32	252	71
12	-31	253	72
11	-30	251	73
10	-29	250	74
9	-28	251	75
8	-27	251	76
7	-26	251	77
7	-25	252	78
7	-24	252	79
7	-23	252	80
7	-22	252	81
7	-21	251	82
7	-20	251	83
7	-19	250	84
8	-18	248	85
9	-17	249	86
10	-16	248	87
11	-16	248	88
12	-15	248	89
13	-15	249	90
14	-15	250	91
15	-15	250	92
16	-15	250	93
17	-15	250	94
18	-15	250	95
