x	y	intensity	time_series
12	-60	123	1
12	-59	123	2
13	-58	138	3
13	-57	135	4
14	-56	131	5
15	-56	152	6
16	-55	213	7
17	-55	240	8
18	-55	239	9
19	-55	242	10
20	-54	245	11
21	-54	245	12
22	-54	244	13
23	-53	243	14
24	-53	246	15
25	-53	248	16
26	-53	249	17
27	-53	247	18
28	-53	245	19
29	-53	244	20
30	-53	245	21
31	-53	245	22
32	-54	247	23
33	-54	247	24
34	-54	248	25
35	-54	248	26
36	-54	247	27
37	-54	244	28
38	-54	242	29
39	-54	242	30
40	-55	242	31
41	-55	244	32
42	-56	243	33
43	-56	246	34
44	-56	246	35
45	-56	246	36
46	-56	246	37
47	-56	246	38
48	-56	245	39
49	-56	242	40
50	-55	244	41
51	-54	246	42
51	-53	249	43
50	-52	244	44
50	-51	242	45
49	-50	244	46
48	-49	249	47
47	-48	250	48
46	-47	252	49
45	-46	250	50
44	-46	250	51
43	-45	247	52
42	-45	247	53
41	-45	246	54
40	-45	251	55
39	-44	252	56
38	-44	251	57
37	-44	251	58
36	-43	251	59
35	-43	251	60
34	-43	251	61
33	-42	252	62
32	-42	253	63
31	-42	252	64
30	-42	250	65
29	-41	250	66
28	-41	251	67
27	-41	250	68
26	-41	250	69
25	-40	248	70
24	-40	247	71
23	-40	247	72
22	-40	248	73
21	-39	249	74
20	-39	250	75
19	-38	248	76
18	-38	248	77
17	-38	248	78
16	-38	248	79
15	-37	248	80
14	-37	248	81
13	-36	250	82
12	-36	251	83
11	-35	250	84
10	-34	250	85
9	-33	249	86
8	-32	248	87
7	-31	249	88
7	-30	247	89
7	-29	245	90
7	-28	247	91
7	-27	251	92
7	-26	253	93
7	-25	253	94
8	-24	252	95
8	-23	251	96
9	-22	251	97
10	-22	252	98
11	-21	251	99
12	-20	251	100
13	-20	252	101
14	-20	253	102
15	-20	252	103
16	-20	252	104
17	-20	252	105
18	-20	252	106
19	-20	251	107
20	-20	252	108
21	-21	251	109
22	-21	251	110
23	-21	252	111
24	-22	251	112
25	-23	249	113
26	-23	247	114
27	-24	250	115
28	-25	251	116
29	-26	251	117
