x	y	intensity	time_series
3	-58	206	1
4	-58	211	2
5	-57	235	3
6	-57	235	4
7	-57	234	5
8	-56	239	6
9	-55	241	7
10	-54	241	8
11	-54	242	9
12	-54	243	10
13	-54	245	11
14	-53	245	12
15	-53	246	13
16	-52	245	14
17	-53	246	15
18	-53	246	16
19	-53	245	17
20	-53	244	18
21	-53	244	19
22	-53	242	20
23	-53	241	21
24	-53	240	22
25	-54	240	23
26	-54	240	24
27	-54	241	25
28	-55	243	26
29	-55	243	27
30	-55	244	28
31	-55	244	29
32	-56	241	30
33	-56	239	31
34	-56	237	32
35	-56	235	33
36	-56	233	34
37	-56	231	35
38	-56	232	36
39	-56	232	37
40	-57	220	38
41	-57	218	39
42	-57	217	40
43	-56	228	41
44	-55	235	42
44	-54	236	43
43	-53	237	44
43	-52	240	45
42	-51	243	46
42	-50	244	47
41	-49	245	48
40	-48	247	49
39	-47	241	50
38	-47	241	51
37	-46	244	52
36	-46	247	53
35	-45	248	54
34	-45	247	55
33	-44	247	56
32	-43	248	57
31	-43	248	58
30	-42	246	59
29	-42	245	60
28	-41	250	61
27	-40	253	62
26	-40	247	63
25	-40	245	64
24	-39	245	65
23	-38	246	66
22	-37	248	67
22	-36	246	68
22	-35	244	69
21	-34	243	70
21	-33	245	71
21	-32	248	72
21	-31	250	73
22	-30	249	74
22	-29	247	75
23	-28	246	76
23	-27	247	77
24	-26	245	78
25	-26	247	79
26	-25	247	80
27	-24	248	81
28	-24	248	82
29	-24	248	83
30	-24	248	84
31	-24	247	85
32	-24	247	86
33	-24	246	87
34	-24	246	88
35	-24	246	89
36	-24	245	90
37	-24	243	91
38	-24	244	92
39	-25	245	93
40	-26	247	94
41	-27	247	95
42	-28	247	96
42	-29	246	97
42	-30	246	98
43	-31	247	99
43	-32	248	100
43	-33	248	101
43	-34	247	102
