x	y	intensity	time_series
4	-51	243	1
5	-51	239	2
6	-52	243	3
7	-52	245	4
8	-52	247	5
9	-53	244	6
10	-53	246	7
11	-53	244	8
12	-53	244	9
13	-53	245	10
14	-53	246	11
15	-54	245	12
16	-54	245	13
17	-55	244	14
18	-55	244	15
19	-55	243	16
20	-55	241	17
21	-56	234	18
22	-56	235	19
23	-56	238	20
24	-56	240	21
25	-56	238	22
26	-56	238	23
27	-57	229	24
28	-57	230	25
29	-57	230	26
30	-57	230	27
31	-57	230	28
32	-57	230	29
33	-57	230	30
34	-57	230	31
35	-57	225	32
36	-57	223	33
37	-57	225	34
38	-58	204	35
39	-58	199	36
40	-58	196	37
41	-58	193	38
42	-59	146	39
43	-59	142	40
44	-59	140	41
45	-59	142	42
46	-59	146	43
47	-59	148	44
48	-59	150	45
49	-58	192	46
50	-58	193	47
51	-58	193	48
52	-58	191	49
53	-58	190	50
54	-58	189	51
55	-58	189	52
56	-58	190	53
57	-58	188	54
58	-58	188	55
59	-58	191	56
60	-57	210	57
60	-56	222	58
60	-55	230	59
60	-54	238	60
60	-53	243	61
60	-52	246	62
60	-51	247	63
60	-50	244	64
59	-49	247	65
59	-48	249	66
58	-47	249	67
58	-46	248	68
57	-45	249	69
56	-44	250	70
55	-44	249	71
54	-44	248	72
53	-44	247	73
52	-43	247	74
51	-43	248	75
50	-43	246	76
49	-42	242	77
48	-42	239	78
47	-41	245	79
46	-41	246	80
45	-40	247	81
44	-40	247	82
43	-39	250	83
42	-39	250	84
41	-38	250	85
40	-37	251	86
39	-36	253	87
38	-35	253	88
37	-34	251	89
36	-33	248	90
36	-32	249	91
35	-31	250	92
35	-30	250	93
35	-29	250	94
35	-28	250	95
35	-27	251	96
35	-26	251	97
35	-25	250	98
35	-24	247	99
35	-23	247	100
35	-22	248	101
35	-21	249	102
35	-20	249	103
35	-19	249	104
35	-18	250	105
36	-17	252	106
36	-16	252	107
37	-15	251	108
38	-14	249	109
39	-13	249	110
40	-12	250	111
41	-11	251	112
42	-11	251	113
43	-11	251	114
44	-10	250	115
45	-10	250	116
46	-10	249	117
47	-10	247	118
48	-10	248	119
49	-10	251	120
50	-10	253	121
51	-10	253	122
52	-11	250	123
53	-11	251	124
54	-12	251	125
55	-13	250	126
56	-14	247	127
57	-15	250	128
58	-15	251	129
59	-16	253	130
60	-17	253	131
61	-18	251	132
62	-19	249	133
62	-20	247	134
63	-21	248	135
63	-22	248	136
63	-23	248	137
