x	y	intensity	time_series
6	-46	248	1
7	-47	249	2
8	-47	250	3
9	-47	251	4
10	-48	251	5
11	-48	251	6
12	-49	249	7
13	-49	250	8
14	-50	250	9
15	-50	250	10
16	-50	249	11
17	-50	249	12
18	-51	248	13
19	-51	249	14
20	-51	249	15
21	-51	250	16
22	-51	250	17
23	-52	250	18
24	-52	247	19
25	-52	247	20
26	-53	249	21
27	-53	249	22
28	-53	249	23
29	-54	249	24
30	-54	248	25
31	-55	248	26
32	-55	247	27
33	-55	246	28
34	-55	242	29
35	-55	242	30
36	-55	242	31
37	-55	244	32
38	-55	245	33
39	-55	245	34
40	-55	244	35
41	-55	243	36
42	-55	243	37
43	-55	245	38
44	-55	244	39
45	-55	244	40
46	-55	246	41
47	-55	247	42
48	-55	247	43
49	-55	246	44
50	-55	246	45
51	-54	246	46
52	-54	247	47
53	-53	249	48
54	-53	249	49
55	-52	249	50
55	-51	247	51
56	-50	248	52
56	-49	247	53
56	-48	245	54
56	-47	244	55
55	-46	246	56
55	-45	244	57
54	-44	245	58
53	-43	249	59
52	-42	249	60
51	-42	248	61
50	-41	250	62
49	-40	251	63
48	-40	250	64
47	-39	248	65
46	-39	248	66
45	-38	248	67
44	-38	250	68
43	-37	249	69
42	-37	248	70
41	-36	251	71
40	-36	252	72
39	-36	252	73
38	-36	251	74
37	-35	250	75
36	-35	249	76
35	-35	250	77
34	-35	250	78
33	-34	249	79
32	-34	249	80
31	-34	250	81
30	-34	250	82
29	-34	249	83
28	-33	251	84
27	-32	250	85
26	-32	250	86
25	-32	249	87
24	-32	249	88
23	-32	250	89
22	-32	250	90
21	-31	250	91
20	-31	250	92
19	-30	250	93
18	-30	249	94
17	-30	247	95
16	-29	250	96
15	-28	252	97
14	-28	252	98
13	-28	252	99
12	-27	250	100
11	-26	246	101
10	-25	249	102
9	-24	251	103
9	-23	251	104
9	-22	248	105
8	-21	248	106
8	-20	249	107
9	-19	249	108
9	-18	249	109
9	-17	248	110
9	-16	248	111
10	-15	248	112
11	-15	248	113
12	-14	250	114
13	-14	250	115
14	-13	250	116
15	-13	250	117
16	-13	250	118
17	-12	250	119
18	-12	250	120
19	-12	249	121
20	-12	247	122
21	-12	248	123
22	-12	247	124
23	-12	246	125
24	-12	247	126
25	-12	248	127
26	-13	250	128
27	-13	250	129
28	-13	250	130
29	-14	248	131
30	-15	250	132
31	-16	248	133
32	-16	248	134
33	-17	248	135
33	-18	253	136
34	-19	248	137
