x	y	intensity	time_series
3	-54	241	1
4	-53	239	2
5	-52	245	3
5	-51	248	4
6	-50	248	5
7	-49	247	6
8	-48	245	7
9	-48	244	8
10	-48	245	9
11	-48	246	10
12	-48	247	11
13	-48	247	12
14	-48	249	13
15	-48	250	14
16	-49	252	15
17	-50	247	16
18	-50	248	17
19	-51	241	18
20	-51	243	19
21	-51	247	20
22	-51	249	21
23	-52	254	22
24	-52	253	23
25	-52	250	24
26	-52	247	25
27	-53	243	26
28	-53	244	27
29	-53	243	28
30	-53	235	29
31	-54	240	30
32	-54	240	31
33	-54	240	32
34	-54	240	33
35	-54	240	34
36	-54	240	35
37	-54	240	36
38	-53	237	37
39	-52	234	38
40	-51	243	39
39	-50	245	40
39	-49	248	41
39	-48	250	42
39	-47	250	43
38	-46	245	44
38	-45	239	45
37	-44	235	46
36	-44	237	47
35	-43	240	48
34	-42	243	49
33	-42	246	50
32	-41	250	51
31	-41	251	52
30	-41	251	53
29	-41	252	54
28	-40	251	55
27	-39	244	56
26	-38	240	57
25	-37	250	58
24	-37	250	59
23	-36	252	60
22	-36	251	61
21	-35	247	62
20	-34	242	63
19	-34	239	64
18	-33	237	65
17	-32	245	66
16	-32	250	67
15	-31	244	68
14	-31	243	69
13	-30	240	70
13	-29	251	71
12	-28	248	72
12	-27	250	73
11	-26	252	74
12	-25	251	75
12	-24	247	76
12	-23	245	77
13	-22	245	78
14	-21	246	79
15	-21	246	80
16	-21	245	81
17	-21	244	82
18	-21	242	83
19	-21	240	84
20	-21	238	85
21	-21	241	86
