x	y	intensity	time_series
23	-60	134	1
24	-60	132	2
25	-60	129	3
26	-61	129	4
27	-61	128	5
28	-61	129	6
29	-61	135	7
30	-62	173	8
31	-62	179	9
32	-62	182	10
33	-62	184	11
34	-62	187	12
35	-62	190	13
36	-62	187	14
37	-62	189	15
38	-62	182	16
39	-62	162	17
40	-62	137	18
41	-61	128	19
41	-60	134	20
42	-59	134	21
43	-58	140	22
43	-57	148	23
43	-56	160	24
43	-55	183	25
43	-54	217	26
43	-53	238	27
42	-52	241	28
41	-51	237	29
41	-50	244	30
40	-49	243	31
40	-48	239	32
39	-47	236	33
38	-46	235	34
37	-45	239	35
37	-44	240	36
36	-43	243	37
35	-42	248	38
34	-41	247	39
33	-40	246	40
32	-39	246	41
31	-39	247	42
30	-38	247	43
29	-37	247	44
28	-36	244	45
27	-35	245	46
26	-34	249	47
25	-33	245	48
24	-33	244	49
23	-32	241	50
22	-31	244	51
21	-30	246	52
20	-29	239	53
19	-28	231	54
18	-27	235	55
17	-26	237	56
16	-25	234	57
15	-24	233	58
14	-23	241	59
13	-22	235	60
12	-22	235	61
11	-21	238	62
11	-20	241	63
10	-19	247	64
10	-18	239	65
10	-17	233	66
10	-16	232	67
9	-15	236	68
9	-14	237	69
9	-13	240	70
9	-12	241	71
9	-11	241	72
10	-10	231	73
11	-9	225	74
12	-9	225	75
13	-9	228	76
14	-9	230	77
15	-9	234	78
16	-9	239	79
17	-9	238	80
18	-9	237	81
19	-9	235	82
20	-9	233	83
21	-10	232	84
22	-11	232	85
23	-12	242	86
24	-12	242	87
25	-13	235	88
26	-13	242	89
