x	y	intensity	time_series
7	-37	252	1
8	-38	251	2
9	-38	250	3
10	-38	250	4
11	-38	249	5
12	-39	250	6
13	-40	253	7
14	-41	252	8
15	-42	248	9
16	-43	245	10
17	-44	247	11
18	-45	249	12
19	-45	248	13
20	-45	248	14
21	-45	248	15
22	-46	240	16
23	-46	239	17
24	-46	239	18
25	-45	244	19
26	-45	247	20
27	-45	249	21
28	-45	250	22
29	-45	250	23
30	-45	250	24
31	-45	252	25
32	-46	244	26
33	-46	243	27
34	-47	242	28
35	-47	245	29
36	-47	246	30
37	-47	247	31
38	-48	246	32
39	-48	246	33
40	-48	248	34
41	-49	250	35
42	-49	251	36
43	-49	249	37
44	-50	249	38
45	-50	248	39
46	-50	248	40
47	-50	247	41
48	-50	246	42
49	-50	248	43
50	-51	248	44
51	-51	250	45
52	-51	250	46
53	-51	244	47
54	-51	245	48
55	-51	246	49
56	-51	248	50
57	-51	249	51
58	-52	250	52
59	-52	251	53
60	-52	252	54
61	-51	252	55
62	-50	249	56
63	-49	244	57
63	-48	244	58
62	-47	249	59
62	-46	252	60
62	-45	253	61
61	-44	250	62
61	-43	248	63
60	-42	247	64
59	-41	248	65
58	-40	249	66
57	-39	251	67
56	-38	254	68
55	-38	254	69
54	-37	253	70
53	-36	253	71
52	-36	253	72
51	-36	253	73
50	-35	252	74
49	-34	253	75
48	-34	254	76
47	-33	252	77
46	-33	251	78
45	-32	249	79
44	-32	248	80
43	-32	247	81
42	-31	250	82
41	-31	249	83
40	-31	249	84
39	-31	248	85
38	-30	249	86
37	-30	248	87
36	-29	252	88
35	-29	251	89
34	-28	252	90
33	-27	253	91
32	-27	252	92
31	-26	254	93
30	-26	253	94
29	-25	254	95
28	-25	252	96
27	-24	254	97
26	-23	254	98
25	-22	251	99
25	-21	250	100
24	-20	249	101
24	-19	251	102
25	-18	253	103
25	-17	254	104
26	-16	253	105
26	-15	252	106
26	-14	249	107
27	-13	250	108
28	-13	250	109
29	-13	251	110
30	-13	252	111
31	-13	252	112
32	-12	254	113
33	-12	254	114
34	-12	254	115
35	-12	254	116
36	-11	254	117
37	-11	254	118
38	-11	254	119
39	-11	254	120
40	-11	254	121
41	-11	254	122
42	-12	254	123
43	-12	252	124
44	-12	253	125
45	-12	254	126
46	-12	254	127
47	-12	254	128
48	-13	254	129
49	-13	254	130
50	-13	254	131
51	-13	254	132
52	-13	254	133
53	-13	253	134
