x	y	intensity	time_series
2	-56	241	1
2	-55	242	2
2	-54	244	3
2	-53	247	4
3	-52	245	5
4	-51	247	6
5	-51	248	7
6	-51	247	8
7	-51	245	9
8	-51	243	10
9	-51	242	11
10	-51	242	12
11	-51	243	13
12	-51	244	14
13	-51	246	15
14	-51	247	16
15	-51	249	17
16	-51	249	18
17	-51	249	19
18	-52	250	20
19	-52	248	21
20	-52	246	22
21	-52	245	23
22	-52	246	24
23	-52	249	25
24	-52	251	26
25	-52	251	27
26	-52	251	28
27	-52	250	29
28	-52	249	30
29	-52	249	31
30	-52	248	32
31	-52	248	33
32	-52	249	34
33	-52	250	35
34	-52	250	36
35	-52	250	37
36	-52	248	38
37	-52	248	39
38	-52	248	40
39	-52	250	41
40	-52	251	42
41	-52	251	43
42	-52	250	44
43	-52	249	45
44	-52	249	46
45	-52	249	47
46	-51	244	48
47	-50	242	49
47	-49	243	50
46	-48	247	51
46	-47	249	52
46	-46	250	53
45	-45	247	54
45	-44	249	55
44	-43	248	56
43	-42	252	57
42	-42	252	58
41	-41	254	59
40	-40	252	60
39	-40	252	61
38	-39	252	62
37	-38	251	63
36	-38	250	64
35	-37	247	65
34	-36	251	66
33	-36	251	67
32	-36	251	68
31	-35	253	69
30	-35	253	70
29	-34	253	71
28	-33	252	72
27	-32	254	73
26	-32	253	74
25	-31	248	75
24	-31	243	76
23	-30	249	77
22	-29	253	78
21	-28	252	79
20	-27	251	80
19	-26	252	81
18	-25	247	82
18	-24	245	83
18	-23	253	84
17	-22	252	85
17	-21	252	86
18	-20	253	87
18	-19	252	88
19	-18	251	89
20	-17	251	90
21	-17	251	91
22	-16	252	92
23	-16	253	93
24	-16	253	94
25	-16	251	95
26	-16	249	96
27	-17	248	97
28	-17	248	98
29	-17	248	99
30	-17	248	100
31	-17	249	101
