x	y	intensity	time_series
6	-48	250	1
7	-48	248	2
8	-48	249	3
9	-48	251	4
10	-48	253	5
11	-48	254	6
12	-47	250	7
13	-47	247	8
14	-47	248	9
15	-47	251	10
16	-47	250	11
17	-47	248	12
18	-47	248	13
19	-47	249	14
20	-47	251	15
21	-47	253	16
22	-48	250	17
23	-48	252	18
24	-48	253	19
25	-48	254	20
26	-48	254	21
27	-48	253	22
28	-49	251	23
29	-49	251	24
30	-49	251	25
31	-49	252	26
32	-49	252	27
33	-49	252	28
34	-49	252	29
35	-49	253	30
36	-48	252	31
37	-49	249	32
38	-49	248	33
39	-49	249	34
40	-49	248	35
41	-49	245	36
42	-49	243	37
43	-49	242	38
44	-49	242	39
45	-49	239	40
46	-49	238	41
47	-49	239	42
48	-49	241	43
49	-48	240	44
50	-47	239	45
51	-46	236	46
51	-45	238	47
50	-44	241	48
49	-43	242	49
48	-42	240	50
47	-41	245	51
46	-40	251	52
45	-40	253	53
44	-39	254	54
43	-39	252	55
42	-39	252	56
41	-39	252	57
40	-39	253	58
39	-39	252	59
38	-38	249	60
37	-38	248	61
36	-38	249	62
35	-37	250	63
34	-37	250	64
33	-37	249	65
32	-36	250	66
31	-36	249	67
30	-36	249	68
29	-36	248	69
28	-35	247	70
27	-34	246	71
26	-34	245	72
25	-34	246	73
24	-34	245	74
23	-34	245	75
22	-34	244	76
21	-33	237	77
20	-33	241	78
19	-33	245	79
18	-33	249	80
17	-32	251	81
16	-31	253	82
15	-31	252	83
14	-31	251	84
13	-30	254	85
12	-29	254	86
11	-28	249	87
10	-28	250	88
9	-27	251	89
9	-26	251	90
9	-25	252	91
8	-24	253	92
8	-23	253	93
8	-22	253	94
8	-21	253	95
8	-20	253	96
9	-19	252	97
9	-18	253	98
10	-17	254	99
11	-16	254	100
12	-15	252	101
13	-15	252	102
14	-14	253	103
15	-13	254	104
16	-13	254	105
17	-13	254	106
18	-12	254	107
19	-12	254	108
20	-12	254	109
21	-12	253	110
22	-11	254	111
23	-11	254	112
24	-11	252	113
25	-11	247	114
26	-11	248	115
27	-11	248	116
28	-11	249	117
29	-11	250	118
30	-11	251	119
31	-11	252	120
32	-11	253	121
33	-11	253	122
34	-11	253	123
35	-11	254	124
36	-11	254	125
37	-12	251	126
38	-12	251	127
39	-12	250	128
40	-12	250	129
41	-12	250	130
42	-13	251	131
43	-13	251	132
44	-14	253	133
45	-15	253	134
