x	y	intensity	time_series
4	-56	245	1
5	-56	243	2
6	-56	247	3
7	-56	247	4
8	-56	243	5
9	-56	243	6
10	-56	244	7
11	-56	241	8
12	-57	235	9
13	-57	232	10
14	-57	234	11
15	-57	235	12
16	-57	238	13
17	-57	240	14
18	-57	243	15
19	-58	220	16
20	-58	220	17
21	-58	223	18
22	-58	229	19
23	-58	230	20
24	-58	215	21
25	-58	195	22
26	-58	175	23
27	-58	160	24
28	-58	152	25
29	-59	127	26
30	-59	127	27
31	-59	126	28
32	-59	126	29
33	-59	128	30
34	-60	119	31
35	-60	117	32
36	-60	123	33
37	-60	125	34
38	-60	128	35
39	-60	128	36
40	-60	126	37
41	-60	123	38
42	-59	124	39
42	-58	131	40
43	-57	177	41
42	-56	219	42
42	-55	246	43
42	-54	251	44
41	-53	254	45
41	-52	251	46
40	-51	250	47
39	-50	251	48
38	-50	251	49
37	-49	247	50
36	-48	251	51
35	-47	251	52
34	-46	249	53
34	-45	245	54
33	-44	249	55
32	-44	250	56
31	-43	251	57
30	-43	251	58
29	-42	250	59
28	-41	245	60
27	-40	251	61
26	-39	251	62
25	-39	250	63
24	-38	253	64
23	-37	249	65
22	-36	246	66
21	-35	249	67
20	-34	251	68
19	-33	251	69
18	-33	251	70
17	-32	252	71
16	-31	247	72
16	-30	246	73
15	-29	245	74
14	-28	239	75
13	-27	230	76
12	-26	225	77
11	-25	223	78
10	-24	228	79
9	-23	241	80
8	-22	241	81
8	-21	242	82
8	-20	244	83
7	-19	244	84
7	-18	245	85
7	-17	245	86
7	-16	247	87
7	-15	249	88
7	-14	251	89
8	-13	247	90
8	-12	249	91
8	-11	252	92
9	-10	251	93
10	-9	250	94
11	-9	249	95
12	-8	249	96
13	-8	248	97
14	-8	249	98
15	-8	250	99
16	-8	248	100
17	-8	246	101
18	-8	248	102
19	-9	253	103
20	-10	249	104
21	-11	242	105
