x	y	intensity	time_series
14	-61	196	1
15	-61	175	2
16	-61	155	3
17	-61	152	4
18	-62	136	5
19	-62	137	6
20	-63	133	7
21	-63	132	8
22	-63	131	9
23	-64	128	10
24	-64	122	11
25	-64	118	12
26	-64	126	13
27	-64	133	14
28	-64	140	15
29	-64	148	16
30	-65	179	17
31	-65	182	18
32	-65	185	19
33	-65	190	20
34	-65	194	21
35	-65	196	22
36	-66	211	23
37	-66	210	24
38	-66	209	25
39	-66	209	26
40	-66	206	27
41	-66	216	28
42	-66	225	29
43	-66	229	30
44	-65	206	31
45	-65	204	32
46	-65	205	33
47	-65	206	34
48	-65	207	35
49	-65	207	36
50	-65	206	37
51	-65	206	38
52	-65	206	39
53	-65	206	40
54	-65	208	41
55	-65	209	42
56	-65	204	43
57	-65	193	44
58	-64	174	45
59	-64	170	46
60	-63	166	47
61	-63	165	48
62	-62	162	49
63	-62	164	50
64	-61	185	51
65	-60	211	52
65	-59	215	53
65	-58	216	54
65	-57	219	55
65	-56	227	56
65	-55	235	57
65	-54	235	58
64	-53	236	59
64	-52	237	60
63	-51	236	61
62	-50	234	62
61	-49	232	63
60	-48	231	64
59	-47	230	65
58	-46	236	66
57	-46	240	67
56	-45	242	68
55	-44	241	69
54	-43	243	70
53	-42	241	71
52	-42	240	72
51	-42	236	73
50	-42	233	74
49	-41	235	75
48	-41	237	76
47	-40	240	77
46	-39	238	78
45	-39	237	79
44	-39	235	80
43	-39	233	81
42	-38	232	82
41	-38	233	83
40	-37	233	84
39	-36	233	85
38	-35	234	86
37	-35	234	87
36	-34	233	88
35	-33	233	89
34	-33	234	90
33	-33	234	91
32	-32	231	92
31	-32	232	93
30	-31	232	94
29	-31	233	95
28	-31	233	96
27	-30	234	97
26	-30	234	98
25	-30	234	99
24	-30	236	100
23	-29	234	101
22	-29	234	102
21	-29	236	103
20	-29	238	104
19	-29	239	105
18	-28	234	106
17	-28	237	107
16	-28	238	108
15	-28	236	109
14	-28	234	110
13	-27	233	111
12	-27	233	112
11	-27	232	113
10	-26	238	114
9	-25	241	115
9	-24	237	116
8	-23	237	117
8	-22	240	118
8	-21	242	119
8	-20	239	120
8	-19	235	121
8	-18	238	122
8	-17	243	123
8	-16	246	124
8	-15	244	125
8	-14	241	126
8	-13	240	127
9	-12	241	128
9	-11	241	129
9	-10	241	130
10	-9	243	131
11	-8	244	132
12	-8	243	133
13	-8	242	134
14	-7	239	135
15	-7	239	136
16	-7	239	137
17	-7	240	138
18	-7	242	139
19	-7	244	140
20	-7	245	141
21	-7	245	142
22	-7	245	143
23	-7	244	144
24	-7	243	145
25	-7	243	146
26	-7	242	147
27	-7	242	148
28	-7	243	149
29	-7	244	150
30	-7	245	151
31	-8	246	152
32	-8	245	153
33	-8	244	154
34	-8	244	155
35	-9	243	156
36	-9	244	157
37	-10	247	158
38	-10	246	159
39	-11	244	160
40	-11	243	161
41	-11	243	162
42	-12	242	163
43	-13	240	164
43	-14	238	165
