x	y	intensity	time_series
12	-57	221	1
13	-58	214	2
14	-58	214	3
15	-59	209	4
16	-59	214	5
17	-59	216	6
18	-59	211	7
19	-59	211	8
20	-59	213	9
21	-60	205	10
22	-61	209	11
23	-61	205	12
24	-62	188	13
25	-63	150	14
26	-63	141	15
27	-63	129	16
28	-63	125	17
29	-64	127	18
30	-64	121	19
31	-64	114	20
32	-64	114	21
33	-64	113	22
34	-65	117	23
35	-65	121	24
36	-65	124	25
37	-65	128	26
38	-65	132	27
39	-65	133	28
40	-66	179	29
41	-66	186	30
42	-66	193	31
43	-66	199	32
44	-66	200	33
45	-66	197	34
46	-66	195	35
47	-66	196	36
48	-67	220	37
49	-67	220	38
50	-67	225	39
51	-67	227	40
52	-66	207	41
53	-66	200	42
54	-66	199	43
55	-66	202	44
56	-66	206	45
57	-66	210	46
58	-66	211	47
59	-66	212	48
60	-66	197	49
61	-65	157	50
62	-65	151	51
63	-65	146	52
64	-65	149	53
65	-64	154	54
66	-64	158	55
67	-64	157	56
68	-63	168	57
69	-63	176	58
70	-62	202	59
70	-61	211	60
71	-60	242	61
72	-59	239	62
73	-58	236	63
73	-57	229	64
73	-56	230	65
73	-55	237	66
72	-54	232	67
72	-53	225	68
72	-52	224	69
71	-51	230	70
70	-50	242	71
69	-50	245	72
68	-50	244	73
67	-50	243	74
66	-49	249	75
65	-49	248	76
64	-48	246	77
63	-48	245	78
62	-47	249	79
61	-47	251	80
60	-47	249	81
59	-46	245	82
58	-46	244	83
57	-46	241	84
56	-46	239	85
55	-45	241	86
54	-45	240	87
53	-45	239	88
52	-44	240	89
51	-44	238	90
50	-44	236	91
49	-44	237	92
48	-44	237	93
47	-43	236	94
46	-43	238	95
45	-43	242	96
44	-43	245	97
43	-42	247	98
42	-42	247	99
41	-42	246	100
40	-41	243	101
39	-41	242	102
38	-41	242	103
37	-41	242	104
36	-40	245	105
35	-40	245	106
34	-39	246	107
33	-39	244	108
32	-38	243	109
31	-38	244	110
30	-38	244	111
29	-37	238	112
28	-37	237	113
27	-37	237	114
26	-37	238	115
25	-36	239	116
24	-35	242	117
23	-35	241	118
22	-34	241	119
21	-34	242	120
20	-34	241	121
19	-33	242	122
18	-33	242	123
17	-32	239	124
16	-32	239	125
15	-32	240	126
14	-31	243	127
13	-30	246	128
12	-29	248	129
11	-28	247	130
10	-27	245	131
9	-26	243	132
8	-25	241	133
7	-24	248	134
7	-23	249	135
7	-22	247	136
7	-21	247	137
7	-20	250	138
7	-19	253	139
7	-18	249	140
7	-17	245	141
7	-16	244	142
8	-15	250	143
8	-14	245	144
9	-13	249	145
10	-12	248	146
11	-12	245	147
12	-11	239	148
13	-10	240	149
14	-9	247	150
15	-9	246	151
16	-9	244	152
17	-9	243	153
18	-8	246	154
19	-8	244	155
20	-7	241	156
21	-7	242	157
22	-7	242	158
23	-7	243	159
24	-7	244	160
25	-7	245	161
26	-7	245	162
27	-7	245	163
28	-7	244	164
29	-6	245	165
30	-6	247	166
31	-6	247	167
32	-6	248	168
33	-6	248	169
34	-6	248	170
35	-6	248	171
36	-6	247	172
37	-6	246	173
38	-6	245	174
39	-6	244	175
40	-6	239	176
41	-6	238	177
42	-6	238	178
43	-7	239	179
44	-7	240	180
45	-7	242	181
46	-7	244	182
47	-7	245	183
48	-8	243	184
49	-8	243	185
50	-8	245	186
51	-8	246	187
52	-8	245	188
53	-9	246	189
54	-9	245	190
55	-10	247	191
56	-10	245	192
57	-10	242	193
58	-11	244	194
59	-12	241	195
60	-13	238	196
60	-14	239	197
61	-15	247	198
62	-16	248	199
63	-17	247	200
63	-18	242	201
63	-19	237	202
63	-20	238	203
63	-21	240	204
