x	y	intensity	time_series
18	-62	141	1
19	-61	135	2
20	-61	132	3
21	-61	126	4
22	-61	125	5
23	-61	134	6
24	-60	119	7
25	-60	118	8
26	-60	123	9
27	-60	130	10
28	-60	126	11
29	-60	126	12
30	-60	125	13
31	-59	130	14
32	-59	129	15
33	-59	133	16
34	-59	139	17
35	-59	145	18
36	-58	185	19
37	-58	189	20
38	-58	194	21
39	-58	195	22
40	-58	194	23
41	-58	191	24
42	-58	183	25
43	-57	207	26
44	-57	207	27
45	-57	208	28
46	-57	210	29
47	-57	212	30
48	-57	213	31
49	-57	214	32
50	-57	214	33
51	-56	218	34
52	-56	218	35
53	-56	222	36
54	-55	231	37
55	-54	228	38
55	-53	231	39
55	-52	234	40
55	-51	236	41
55	-50	237	42
55	-49	239	43
54	-48	241	44
53	-47	241	45
52	-47	243	46
51	-47	245	47
50	-46	248	48
49	-46	248	49
48	-46	247	50
47	-45	244	51
46	-45	243	52
45	-45	241	53
44	-45	241	54
43	-45	240	55
42	-45	240	56
41	-44	245	57
40	-44	245	58
39	-44	245	59
38	-44	246	60
37	-44	247	61
36	-44	246	62
35	-44	246	63
34	-43	244	64
33	-43	244	65
32	-43	244	66
31	-42	245	67
30	-42	244	68
29	-42	243	69
28	-42	242	70
27	-42	242	71
26	-42	242	72
25	-42	242	73
24	-42	243	74
23	-42	244	75
22	-42	245	76
21	-42	247	77
20	-42	248	78
19	-42	249	79
18	-42	249	80
17	-42	249	81
16	-42	249	82
15	-42	250	83
14	-41	252	84
13	-41	252	85
12	-41	251	86
11	-41	250	87
10	-41	249	88
9	-40	246	89
8	-39	243	90
7	-38	244	91
6	-37	246	92
6	-36	248	93
6	-35	249	94
6	-34	248	95
7	-33	245	96
7	-32	242	97
8	-31	244	98
9	-30	244	99
10	-29	248	100
11	-28	250	101
12	-28	249	102
13	-27	249	103
14	-26	248	104
15	-26	249	105
16	-26	249	106
17	-25	248	107
18	-25	247	108
19	-25	244	109
20	-24	244	110
21	-24	242	111
22	-24	242	112
23	-24	243	113
24	-24	245	114
25	-24	246	115
26	-24	247	116
27	-24	248	117
28	-24	248	118
29	-24	249	119
30	-25	246	120
31	-25	248	121
32	-25	251	122
33	-25	251	123
34	-25	251	124
35	-26	248	125
36	-27	245	126
37	-28	245	127
38	-28	246	128
39	-29	246	129
40	-29	246	130
