x	y	intensity	time_series
13	-43	244	1
14	-43	244	2
15	-44	239	3
16	-44	239	4
17	-45	242	5
18	-46	247	6
19	-47	248	7
20	-47	245	8
21	-47	242	9
22	-47	238	10
23	-48	245	11
24	-48	244	12
25	-48	242	13
26	-48	240	14
27	-48	240	15
28	-48	241	16
29	-48	242	17
30	-48	243	18
31	-48	242	19
32	-48	242	20
33	-48	242	21
34	-48	241	22
35	-48	241	23
36	-48	240	24
37	-48	239	25
38	-48	239	26
39	-48	239	27
40	-48	240	28
41	-48	241	29
42	-48	244	30
43	-48	246	31
44	-48	246	32
45	-48	245	33
46	-48	245	34
47	-47	238	35
48	-47	239	36
49	-46	241	37
50	-46	243	38
51	-46	244	39
52	-45	241	40
53	-45	238	41
54	-45	239	42
55	-45	239	43
56	-45	240	44
57	-44	241	45
58	-43	244	46
59	-43	245	47
60	-42	246	48
60	-41	244	49
61	-40	242	50
61	-39	244	51
60	-38	247	52
60	-37	245	53
59	-36	245	54
58	-35	247	55
57	-34	246	56
56	-34	246	57
55	-33	244	58
54	-32	244	59
53	-32	243	60
52	-31	241	61
51	-30	243	62
50	-29	244	63
49	-29	244	64
48	-29	245	65
47	-29	247	66
46	-28	246	67
45	-27	244	68
44	-27	244	69
43	-26	246	70
42	-25	248	71
41	-25	248	72
40	-25	249	73
39	-25	249	74
38	-24	249	75
37	-24	248	76
36	-24	246	77
35	-24	245	78
34	-23	247	79
33	-23	247	80
32	-22	248	81
31	-22	245	82
30	-22	246	83
29	-22	247	84
28	-22	248	85
27	-21	250	86
26	-21	250	87
25	-21	248	88
24	-20	246	89
23	-20	244	90
22	-20	243	91
21	-20	242	92
20	-19	239	93
19	-19	240	94
18	-19	243	95
17	-19	244	96
16	-19	245	97
15	-18	245	98
14	-17	243	99
13	-16	237	100
12	-15	238	101
13	-14	242	102
14	-13	243	103
15	-12	245	104
16	-11	248	105
17	-11	248	106
18	-10	246	107
19	-10	244	108
20	-10	243	109
21	-9	244	110
22	-9	248	111
23	-9	246	112
24	-8	244	113
25	-8	242	114
26	-8	241	115
27	-7	238	116
28	-7	237	117
29	-7	238	118
30	-7	241	119
31	-7	243	120
32	-7	247	121
33	-7	246	122
34	-7	242	123
35	-7	240	124
36	-7	242	125
37	-7	245	126
38	-7	247	127
39	-7	246	128
