x	y	intensity	time_series
15	-51	242	1
16	-51	239	2
17	-51	239	3
18	-50	242	4
19	-50	245	5
20	-50	247	6
21	-50	247	7
22	-50	247	8
23	-50	247	9
24	-49	248	10
25	-49	246	11
26	-49	245	12
27	-49	244	13
28	-49	244	14
29	-49	245	15
30	-49	245	16
31	-49	244	17
32	-49	243	18
33	-49	242	19
34	-49	240	20
35	-49	240	21
36	-49	240	22
37	-50	240	23
38	-50	240	24
39	-50	239	25
40	-50	238	26
41	-50	236	27
42	-50	235	28
43	-50	235	29
44	-50	237	30
45	-50	238	31
46	-50	239	32
47	-50	239	33
48	-50	239	34
49	-50	238	35
50	-50	238	36
51	-50	238	37
52	-50	240	38
53	-50	241	39
54	-49	243	40
55	-49	240	41
56	-49	237	42
57	-49	235	43
58	-48	238	44
59	-47	242	45
60	-46	244	46
60	-45	242	47
59	-44	244	48
58	-43	248	49
57	-42	249	50
56	-41	246	51
55	-40	246	52
54	-40	247	53
53	-40	247	54
52	-40	246	55
51	-39	246	56
50	-39	246	57
49	-38	246	58
48	-38	247	59
47	-37	249	60
46	-37	247	61
45	-37	244	62
44	-37	244	63
43	-37	250	64
42	-36	245	65
41	-36	244	66
40	-36	244	67
39	-36	243	68
38	-35	241	69
37	-35	241	70
36	-35	241	71
35	-35	241	72
34	-35	240	73
33	-35	242	74
32	-34	242	75
31	-34	243	76
30	-34	244	77
29	-34	244	78
28	-34	243	79
27	-33	244	80
26	-33	244	81
25	-33	244	82
24	-33	245	83
23	-33	240	84
22	-33	239	85
21	-32	248	86
20	-32	247	87
19	-32	246	88
18	-31	251	89
17	-31	250	90
16	-31	248	91
15	-31	248	92
14	-30	245	93
13	-30	245	94
12	-29	246	95
11	-29	245	96
10	-28	248	97
9	-27	247	98
8	-26	248	99
8	-25	249	100
7	-24	249	101
7	-23	246	102
7	-22	245	103
7	-21	245	104
8	-20	243	105
8	-19	244	106
8	-18	244	107
9	-17	245	108
10	-17	245	109
11	-16	247	110
12	-16	247	111
13	-15	246	112
14	-15	245	113
15	-15	246	114
16	-15	245	115
17	-15	243	116
18	-15	242	117
19	-15	242	118
20	-15	245	119
21	-16	244	120
22	-16	244	121
23	-16	244	122
24	-17	250	123
25	-17	249	124
26	-18	246	125
27	-19	242	126
28	-19	242	127
29	-19	242	128
30	-20	242	129
