x	y	intensity	time_series
13	-57	244	1
14	-56	244	2
15	-56	243	3
16	-56	243	4
17	-56	243	5
18	-56	240	6
19	-56	243	7
20	-56	245	8
21	-56	243	9
22	-56	242	10
23	-56	243	11
24	-56	243	12
25	-56	243	13
26	-56	242	14
27	-56	240	15
28	-56	240	16
29	-56	242	17
30	-57	243	18
31	-57	243	19
32	-57	245	20
33	-57	246	21
34	-57	246	22
35	-57	244	23
36	-57	244	24
37	-57	245	25
38	-57	246	26
39	-57	246	27
40	-57	244	28
41	-56	251	29
42	-55	248	30
43	-54	245	31
42	-53	246	32
42	-52	247	33
41	-51	248	34
41	-50	249	35
40	-49	254	36
39	-49	254	37
38	-48	251	38
37	-48	250	39
36	-47	251	40
35	-47	250	41
34	-46	251	42
33	-46	251	43
32	-45	249	44
31	-45	249	45
30	-44	248	46
29	-44	248	47
28	-43	246	48
27	-42	241	49
26	-41	239	50
25	-41	242	51
24	-40	245	52
23	-40	245	53
22	-39	240	54
21	-38	234	55
20	-37	232	56
19	-36	246	57
18	-35	241	58
17	-34	241	59
16	-33	245	60
16	-32	247	61
16	-31	245	62
15	-30	248	63
15	-29	250	64
15	-28	250	65
15	-27	246	66
15	-26	245	67
16	-25	247	68
16	-24	247	69
17	-23	249	70
18	-22	251	71
19	-22	250	72
20	-21	249	73
21	-21	248	74
22	-21	249	75
23	-21	250	76
24	-21	251	77
25	-21	250	78
26	-21	250	79
27	-21	249	80
28	-22	249	81
29	-23	250	82
30	-24	251	83
31	-24	251	84
