x	y	intensity	time_series
21	-58	229	1
22	-58	227	2
23	-58	225	3
24	-58	209	4
25	-58	192	5
26	-58	186	6
27	-58	181	7
28	-58	180	8
29	-58	172	9
30	-58	169	10
31	-58	149	11
32	-58	147	12
33	-58	166	13
34	-59	132	14
35	-59	132	15
36	-59	125	16
37	-59	117	17
38	-59	110	18
39	-58	166	19
40	-58	176	20
41	-58	183	21
42	-58	192	22
43	-58	202	23
44	-58	205	24
45	-58	196	25
46	-58	194	26
47	-58	188	27
48	-58	185	28
49	-58	186	29
50	-58	194	30
51	-58	204	31
52	-57	223	32
53	-57	224	33
54	-57	223	34
55	-57	224	35
56	-56	229	36
57	-56	229	37
58	-56	230	38
59	-56	231	39
60	-56	231	40
61	-56	231	41
62	-56	230	42
63	-56	230	43
64	-55	232	44
65	-55	233	45
66	-55	234	46
67	-55	234	47
68	-55	232	48
69	-54	233	49
70	-53	234	50
70	-52	234	51
71	-51	236	52
70	-50	236	53
69	-49	242	54
68	-48	243	55
67	-47	243	56
66	-47	242	57
65	-47	241	58
64	-47	241	59
63	-46	243	60
62	-46	244	61
61	-46	244	62
60	-46	244	63
59	-46	243	64
58	-46	241	65
57	-46	240	66
56	-46	242	67
55	-46	247	68
54	-45	244	69
53	-45	245	70
52	-45	245	71
51	-45	245	72
50	-45	245	73
49	-44	245	74
48	-45	245	75
47	-45	243	76
46	-44	242	77
45	-44	242	78
44	-44	243	79
43	-44	244	80
42	-43	246	81
41	-43	246	82
40	-43	246	83
39	-43	246	84
38	-43	245	85
37	-42	246	86
36	-42	246	87
35	-42	244	88
34	-42	244	89
33	-42	245	90
32	-42	245	91
31	-42	246	92
30	-42	246	93
29	-42	245	94
28	-42	244	95
27	-41	240	96
26	-41	239	97
25	-41	239	98
24	-41	240	99
23	-41	243	100
22	-41	246	101
21	-41	247	102
20	-41	246	103
19	-40	242	104
18	-40	242	105
17	-40	244	106
16	-39	246	107
15	-39	248	108
14	-39	247	109
13	-39	247	110
12	-38	246	111
11	-37	246	112
10	-36	247	113
9	-36	248	114
8	-35	248	115
8	-34	246	116
7	-33	244	117
7	-32	244	118
7	-31	245	119
7	-30	248	120
7	-29	249	121
7	-28	249	122
7	-27	246	123
8	-26	243	124
9	-26	243	125
10	-25	246	126
11	-24	247	127
12	-24	249	128
13	-23	249	129
14	-23	250	130
15	-23	246	131
16	-22	250	132
17	-22	246	133
18	-22	242	134
19	-22	242	135
20	-22	244	136
21	-22	248	137
22	-22	250	138
23	-22	249	139
24	-22	246	140
25	-22	245	141
26	-22	245	142
27	-22	244	143
28	-23	243	144
29	-23	242	145
30	-23	243	146
31	-23	244	147
32	-24	244	148
33	-24	242	149
34	-24	241	150
