x	y	intensity	time_series
21	-51	245	1
22	-51	241	2
23	-50	242	3
24	-51	241	4
25	-51	241	5
26	-51	238	6
27	-51	238	7
28	-52	238	8
29	-52	241	9
30	-52	241	10
31	-52	239	11
32	-52	239	12
33	-52	240	13
34	-52	240	14
35	-52	241	15
36	-52	242	16
37	-52	244	17
38	-52	245	18
39	-52	245	19
40	-52	244	20
41	-52	243	21
42	-52	242	22
43	-53	241	23
44	-53	240	24
45	-53	239	25
46	-53	239	26
47	-53	240	27
48	-53	240	28
49	-53	241	29
50	-53	242	30
51	-53	243	31
52	-53	243	32
53	-53	244	33
54	-53	245	34
55	-53	247	35
56	-53	248	36
57	-53	249	37
58	-53	248	38
59	-53	247	39
60	-53	246	40
61	-52	243	41
62	-52	245	42
63	-52	242	43
64	-52	240	44
65	-52	240	45
66	-52	241	46
67	-51	245	47
68	-50	249	48
69	-49	250	49
69	-48	250	50
69	-47	247	51
69	-46	246	52
68	-45	247	53
68	-44	249	54
67	-43	250	55
66	-42	248	56
65	-42	247	57
64	-41	248	58
63	-40	251	59
62	-39	253	60
61	-39	251	61
60	-38	246	62
59	-38	247	63
58	-37	248	64
57	-37	249	65
56	-37	249	66
55	-36	249	67
54	-36	249	68
53	-35	251	69
52	-34	249	70
51	-34	250	71
50	-34	251	72
49	-33	252	73
48	-33	251	74
47	-33	251	75
46	-33	250	76
45	-32	250	77
44	-32	248	78
43	-32	248	79
42	-31	250	80
41	-31	251	81
40	-31	251	82
39	-31	250	83
38	-30	252	84
37	-30	251	85
36	-29	250	86
35	-29	249	87
34	-29	249	88
33	-29	249	89
32	-29	252	90
31	-28	253	91
30	-28	251	92
29	-28	251	93
28	-28	251	94
27	-27	249	95
26	-27	248	96
25	-27	248	97
24	-26	247	98
23	-26	245	99
22	-26	247	100
21	-26	250	101
20	-26	247	102
19	-25	246	103
18	-25	245	104
17	-24	248	105
16	-24	248	106
15	-23	247	107
14	-23	248	108
13	-22	247	109
12	-22	248	110
11	-21	251	111
10	-20	249	112
9	-19	248	113
8	-18	248	114
8	-17	247	115
8	-16	242	116
8	-15	241	117
8	-14	245	118
8	-13	250	119
8	-12	250	120
9	-11	249	121
10	-10	249	122
11	-9	250	123
12	-9	252	124
13	-8	252	125
14	-7	250	126
15	-7	248	127
16	-7	248	128
17	-7	248	129
18	-6	250	130
19	-6	250	131
20	-6	249	132
21	-6	248	133
22	-6	249	134
23	-6	250	135
24	-6	251	136
25	-6	251	137
26	-6	250	138
27	-6	249	139
28	-6	247	140
29	-6	246	141
30	-6	246	142
31	-6	247	143
32	-6	248	144
33	-6	250	145
34	-6	249	146
35	-6	248	147
36	-6	247	148
37	-7	247	149
38	-7	247	150
39	-7	244	151
40	-8	251	152
41	-8	244	153
42	-8	240	154
43	-9	244	155
44	-10	240	156
