x	y	intensity	time_series
20	-41	249	1
21	-41	250	2
22	-41	251	3
23	-40	250	4
24	-40	251	5
25	-41	252	6
26	-41	252	7
27	-41	251	8
28	-41	249	9
29	-41	245	10
30	-42	244	11
31	-42	246	12
32	-42	248	13
33	-42	250	14
34	-42	250	15
35	-43	244	16
36	-43	244	17
37	-43	244	18
38	-44	237	19
39	-45	232	20
40	-46	237	21
41	-46	237	22
42	-46	237	23
43	-46	237	24
44	-46	238	25
45	-47	233	26
46	-47	229	27
47	-47	233	28
48	-48	243	29
49	-48	246	30
50	-48	248	31
51	-49	249	32
52	-49	248	33
53	-49	248	34
54	-49	248	35
55	-49	248	36
56	-49	249	37
57	-50	250	38
58	-50	248	39
59	-50	246	40
60	-50	247	41
61	-50	249	42
62	-50	251	43
63	-50	251	44
64	-50	250	45
65	-50	249	46
66	-50	245	47
67	-50	246	48
68	-49	249	49
69	-48	249	50
70	-47	248	51
70	-46	249	52
70	-45	251	53
69	-44	250	54
69	-43	248	55
68	-42	249	56
67	-41	253	57
66	-40	252	58
65	-40	248	59
64	-39	248	60
63	-39	246	61
62	-39	244	62
61	-38	243	63
60	-38	243	64
59	-37	249	65
58	-37	251	66
57	-36	251	67
56	-36	250	68
55	-36	249	69
54	-35	252	70
53	-35	251	71
52	-34	249	72
51	-34	249	73
50	-33	248	74
49	-33	250	75
48	-32	248	76
47	-31	249	77
46	-31	250	78
45	-31	251	79
44	-30	250	80
43	-30	250	81
42	-29	248	82
41	-29	250	83
40	-29	251	84
39	-29	251	85
38	-28	251	86
37	-28	251	87
36	-27	253	88
35	-27	253	89
34	-26	251	90
33	-26	249	91
32	-25	243	92
31	-25	243	93
30	-25	245	94
29	-25	247	95
28	-24	247	96
27	-24	246	97
26	-23	249	98
25	-22	250	99
24	-21	251	100
23	-21	250	101
22	-21	247	102
21	-21	247	103
20	-21	249	104
19	-21	252	105
18	-20	253	106
17	-20	252	107
16	-19	248	108
15	-18	244	109
14	-18	245	110
13	-17	243	111
12	-16	242	112
11	-15	243	113
10	-15	245	114
9	-14	250	115
9	-13	252	116
8	-12	249	117
8	-11	245	118
8	-10	242	119
7	-9	242	120
8	-8	248	121
8	-7	249	122
8	-6	247	123
8	-5	245	124
9	-4	249	125
10	-4	248	126
11	-3	246	127
12	-3	246	128
13	-3	249	129
14	-3	252	130
15	-4	252	131
16	-4	252	132
17	-4	251	133
18	-4	251	134
19	-5	250	135
20	-5	249	136
21	-6	249	137
22	-6	247	138
